E_Name,Class,Direction,Time
E_6001,car,route_7,973.6193569000001
E_6033,car,route_7,977.5621815000001
E_6067,car,route_8,978.8715442
E_6079,car,route_8,979.8900707
E_6085,car,route_8,980.6154988000001
E_6092,car,route_8,981.857361
E_6091,car,route_7,986.8816694000001
E_6159,car,route_7,993.9559558
E_6378,car,route_7,1022.5811129000001
E_6535,car,route_7,1041.2408445
E_6620,car,route_7,1057.4115319
E_6973,motorcycle,route_7,1090.1711529
E_7110,car,route_7,1109.2450305
E_7544,car,route_7,1179.7143267000001
E_7581,motorcycle,route_7,1183.0690957
E_7740,car,route_6,1195.4570249
E_5907,car,route_6,1196.1166286
E_7683,car,route_7,1197.832112
E_7680,car,route_8,1199.9910881
E_7743,car,route_6,1203.3371836000001
E_7808,car,route_8,1205.3807537
E_7854,car,route_8,1206.107781
E_6294,car,route_6,1207.1266071
E_7870,car,route_8,1207.201531
E_7868,car,route_8,1209.0188208
E_7913,car,route_8,1210.4731636000001
E_7915,motorcycle,route_7,1210.8386386
E_7912,car,route_8,1213.0187658
E_7958,car,route_8,1215.6232525
E_7957,truck,route_6,1215.9917809
E_7975,truck,route_6,1216.6411451000001
E_7999,car,route_6,1220.1223495
E_8007,motorcycle,route_8,1220.6263817000001
E_8048,truck,route_7,1227.3440239000001
E_8057,car,route_7,1227.706572
E_8070,car,route_8,1235.6971555
E_8082,motorcycle,route_7,1239.3269317
E_8088,motorcycle,route_6,1240.7795052000001
E_8130,motorcycle,route_8,1260.9185045
E_8128,car,route_6,1263.7297711
E_8152,motorcycle,route_6,1267.576
E_8167,car,route_7,1269.7550533
E_8147,car,route_6,1279.3889673
E_8291,car,route_7,1287.3669051
E_8290,car,route_7,1290.4153631
E_8359,motorcycle,route_6,1293.9816281
E_8387,car,route_6,1295.9469813
E_8255,car,route_7,1298.2756383
E_8456,motorcycle,route_8,1302.2236983
E_8434,car,route_7,1307.1103685
E_8531,car,route_6,1307.9837157
E_8501,car,route_8,1308.7924028
E_8614,motorcycle,route_6,1316.2465802
E_8684,motorcycle,route_7,1327.5465946
E_8767,car,route_6,1339.3741761
E_8986,car,route_7,1376.9689462000001
E_9033,car,route_7,1380.8169244
E_9244,car,route_7,1403.0854961
E_9245,car,route_7,1403.2323167
E_9468,car,route_8,1424.4031249
E_9472,car,route_8,1424.8368029
E_9532,car,route_7,1432.6931542
E_9549,car,route_7,1432.9098528
E_9973,car,route_6,1490.775478
E_10079,motorcycle,route_7,1509.710347
E_9707,car,route_8,1523.4817674
E_10278,car,route_8,1524.1335422
E_10295,truck,route_6,1528.9287784
E_10292,car,route_8,1532.3439238
E_10405,truck,route_8,1532.631345
E_10410,car,route_8,1532.7035538
E_10441,truck,route_8,1536.3233597
E_10466,car,route_6,1536.828321
E_10469,car,route_6,1536.9001546
E_10470,car,route_8,1536.9001642
E_10472,car,route_6,1537.2624444
E_10485,car,route_6,1537.7664615
E_10508,motorcycle,route_6,1539.5116059
