N_Name,Class,Direction,Time
N_4698,car,route_10,326.9665512
N_4865,car,route_9,329.26500120000003
N_4874,car,route_9,329.8556069
N_4878,car,route_9,330.2264963
N_4893,car,route_9,331.0429373
N_4940,car,route_10,333.05443310000004
N_4946,truck,route_10,333.3535016
N_4953,truck,route_10,333.5753308
N_4729,truck,route_10,334.09895830000005
N_4968,car,route_9,334.3954612
N_4981,car,route_9,334.6975438
N_4988,car,route_9,335.0691411
N_5012,car,route_9,336.9275589
N_5019,car,route_9,337.4538756
N_5002,truck,route_10,339.7657697
N_5024,car,route_9,342.7436033
N_5158,car,route_10,343.7086722
N_5244,truck,route_10,347.9452974
N_5247,car,route_9,348.01906190000005
N_5279,motorcycle,route_10,349.0561635
N_5282,car,route_9,349.2794225
N_5256,car,route_10,350.71164600000003
N_5336,car,route_10,351.24439290000004
N_5300,truck,route_9,352.58775130000004
N_5417,car,route_9,354.28596170000003
N_5516,car,route_10,357.18436720000005
N_5217,car,route_10,357.70243200000004
N_5487,car,route_9,357.7779395
N_5630,motorcycle,route_11,360.40032140000005
N_5632,car,route_9,360.40036480000003
N_5641,car,route_9,360.63115120000003
N_5211,truck,route_10,361.8243001
N_5704,car,route_10,362.42012960000005
N_5708,car,route_9,362.49416110000004
N_5712,car,route_10,362.56801750000005
N_5540,car,route_10,365.4033211
N_5314,car,route_9,366.14878170000003
N_5784,car,route_10,366.37203400000004
N_5841,car,route_10,367.1997915
N_5851,motorcycle,route_11,367.57159240000004
N_5883,car,route_10,368.4004312
N_5889,car,route_10,368.62651220000004
N_5722,car,route_10,369.29891960000003
N_5788,car,route_10,369.37348130000004
N_5911,motorcycle,route_10,369.5216603
N_5918,motorcycle,route_10,369.8240127
N_5920,car,route_10,369.97227960000004
N_5947,car,route_10,370.79426570000004
N_5840,car,route_9,371.0927937
N_5973,car,route_10,371.4658867
N_5759,truck,route_10,374.3530913
N_5955,car,route_11,375.2799269
N_5903,car,route_9,375.3545047
N_6053,car,route_9,376.48053830000003
N_6062,car,route_9,377.1561965
N_6067,car,route_9,377.4573915
N_6082,car,route_10,378.5065051
N_6090,car,route_9,378.88228080000005
N_6087,car,route_11,381.28132450000004
N_6127,car,route_9,381.95578300000005
N_6069,car,route_10,382.0293212
N_6156,car,route_9,385.2535204
N_6161,car,route_9,385.70412680000004
N_6195,car,route_9,387.1290793
N_6225,car,route_9,388.3294677
N_6235,car,route_9,388.6323486
N_6240,car,route_9,388.8583476
N_6254,car,route_9,389.45791890000004
N_6220,car,route_9,389.53191560000005
N_6262,car,route_9,389.68576440000004
N_6099,car,route_10,389.98481630000003
N_6287,car,route_9,391.33342650000003
N_6292,car,route_9,391.55990840000004
N_6315,car,route_9,392.90249020000005
N_6325,car,route_9,393.27324180000005
N_6332,motorcycle,route_11,393.719147
N_6337,motorcycle,route_11,393.94246300000003
N_6367,car,route_9,395.2127957
N_6371,car,route_9,395.4347568
N_6379,car,route_9,395.65982310000004
N_6386,car,route_9,396.03034620000005
N_6395,car,route_9,396.4776736
N_6397,car,route_9,396.62783540000004
N_6402,car,route_9,396.70203610000004
N_6421,car,route_9,398.1251067
N_6423,car,route_9,398.27756960000005
N_6429,car,route_9,398.5025137
N_6432,car,route_9,398.72720130000005
N_6435,car,route_9,398.8759486
N_6439,car,route_9,399.0989804
N_6442,car,route_9,399.2474225
N_6447,car,route_9,399.4740031
N_6448,car,route_9,400.14700600000003
N_6463,car,route_9,400.6692314
N_6466,car,route_9,400.82099270000003
N_6481,car,route_9,402.09437260000004
N_6498,car,route_9,403.222999
N_6503,car,route_9,403.74765080000003
N_6515,car,route_9,404.3451852
N_6518,car,route_9,404.49453170000004
N_6521,car,route_9,404.64349960000004
N_6516,car,route_9,404.7915593
N_6527,car,route_11,405.2417439
N_6528,car,route_9,405.24176900000003
N_6554,car,route_9,406.8898553
N_6558,car,route_9,407.3409978
N_6585,car,route_9,408.681304
N_6575,car,route_9,409.0537152
N_6601,car,route_9,410.0288438
N_6570,car,route_9,410.3286822
