S_Name,Class,Direction,Time
S_3606,car,route_3,228.85857
S_3619,car,route_4,229.3710292
S_3626,car,route_3,230.17251119999997
S_3627,car,route_3,230.24475310000003
S_3633,car,route_3,230.9012513
S_3635,car,route_3,231.1975167
S_3637,car,route_3,231.4154547
S_3643,car,route_3,231.999862
S_3660,car,route_4,232.8712438
S_3682,car,route_3,235.20864949999998
S_3685,car,route_3,235.5037721
S_3686,car,route_3,235.7204855
S_3688,car,route_3,236.3056757
S_3693,car,route_3,237.25322369999998
S_3696,car,route_4,237.5487169
S_3716,car,route_3,239.73828509999998
S_3730,car,route_4,241.4298238
S_3748,car,route_3,242.88918180000002
S_3769,car,route_3,244.4951964
S_3785,car,route_3,245.7387496
S_3787,car,route_3,245.9588501
S_3807,car,route_3,247.86408720000003
S_3809,car,route_3,248.15510469999998
S_3819,car,route_3,249.6148475
S_3873,car,route_3,256.5500207
S_3878,car,route_4,256.9877764
S_3880,car,route_4,257.1369161
S_3884,car,route_4,257.4283875
S_3889,car,route_3,257.7938492
S_3890,car,route_4,257.86650119999996
S_3893,car,route_4,258.0141316
S_3895,car,route_3,258.46961999999996
S_3896,car,route_4,258.5467119
S_3899,car,route_3,259.0728218
S_3900,car,route_3,259.2191636
S_3901,car,route_4,259.21917329999997
S_3908,car,route_3,261.1199757
S_3911,car,route_3,261.4826779
S_3923,car,route_3,262.72801949999996
S_3945,car,route_4,264.8443702
S_3980,car,route_3,268.0640198
S_4005,car,route_3,270.844788
S_4009,car,route_3,271.5044949
S_4020,car,route_3,272.5298972
S_4083,car,route_3,278.3018743
S_4084,car,route_3,278.51913759999997
S_4085,car,route_3,278.8831575
S_4091,car,route_3,279.463454
S_4094,car,route_3,279.6840666
S_4095,car,route_3,280.1245944
S_4097,car,route_3,280.2698
S_4177,car,route_3,288.95550629999997
S_4180,car,route_3,289.3185644
S_4183,car,route_3,289.7549255
S_4184,car,route_3,289.9792055
S_4193,car,route_3,290.9240625
S_4225,car,route_3,294.6536255
S_4234,car,route_3,296.17934379999997
S_4259,truck,route_4,298.9597099
S_4351,car,route_3,308.0233945
S_4416,truck,route_4,315.11181769999996
S_4425,truck,route_4,316.2828166
S_4430,truck,route_4,316.5012983
S_4431,car,route_3,316.5013117
S_4445,truck,route_4,318.6226512
S_4477,truck,route_4,323.4349692
S_4489,car,route_3,324.8969095
S_4492,car,route_3,325.1189889
S_4559,car,route_3,333.71839689999996
S_4579,truck,route_4,334.8114488
S_4646,car,route_3,339.9306636
S_5205,car,route_3,377.8039094
S_5208,car,route_3,377.9487557
S_5209,car,route_3,378.0219428
S_5213,car,route_3,378.38496699999996
S_5219,car,route_3,378.6743353
S_5224,car,route_3,379.0390913
S_5226,car,route_3,379.2555195
S_5248,car,route_4,385.5329562
S_5352,car,route_4,388.1707616
S_5373,car,route_4,393.2141271
S_5467,car,route_4,397.5217765
S_5502,car,route_4,401.47049469999996
S_5540,car,route_4,404.3215091
S_5549,car,route_4,404.9110103
S_5738,car,route_4,412.22256649999997
S_5428,car,route_4,412.5141097
S_5739,car,route_4,412.58714729999997
S_5761,car,route_4,412.95314429999996
S_5699,car,route_3,413.2477151
S_5780,car,route_5,413.613009
S_5782,car,route_3,413.61302259999997
S_5800,car,route_5,413.9831733
S_5802,car,route_3,414.12919469999997
S_5814,car,route_3,414.3469315
S_5872,car,route_3,416.8321371
S_5536,car,route_5,417.1976581
S_5877,car,route_4,417.1976836
S_5915,car,route_4,418.2237153
S_5924,car,route_4,418.6607495
S_5941,car,route_4,419.5397915
S_5932,car,route_3,419.9058616
S_5978,car,route_3,420.71374069999996
S_6014,car,route_3,422.17167409999996
S_6075,car,route_5,423.4158799
S_6051,car,route_3,424.1457231
S_6121,car,route_3,424.8077354
S_6148,car,route_3,425.9096619
S_5979,car,route_5,425.98285699999997
S_6257,car,route_5,428.256427
S_6318,car,route_3,430.6002128
S_6396,car,route_3,431.70493339999996
S_6511,motorcycle,route_4,434.4886911
S_6512,motorcycle,route_3,434.4887012
S_6335,car,route_5,434.780966
S_6519,motorcycle,route_4,434.9326929
S_6426,car,route_3,435.886212
S_6555,car,route_5,436.1803533
S_6562,motorcycle,route_3,436.39846919999997
S_6575,motorcycle,route_3,436.61879899999997
S_6580,motorcycle,route_3,436.83710379999997
S_6584,motorcycle,route_3,436.9834122
S_6591,car,route_3,437.27608829999997
S_6596,car,route_3,437.7161713
S_6637,car,route_4,438.8201178
S_6483,car,route_5,439.84785519999997
S_6668,car,route_4,439.84789789999996
S_6670,car,route_3,439.8479139
S_6546,car,route_3,440.21302959999997
S_6761,motorcycle,route_4,443.0651803
S_6767,motorcycle,route_4,443.648817
S_6798,car,route_3,444.8177392
S_6812,motorcycle,route_3,445.2595184
S_6652,car,route_5,445.4790241
S_6786,car,route_4,445.6983982
S_6843,car,route_3,446.4288625
S_6847,car,route_3,446.7202561
S_6806,car,route_3,447.450531
S_6864,car,route_5,447.4505709
S_6883,car,route_5,448.03965999999997
S_6892,car,route_5,448.18986509999996
S_6807,car,route_3,450.6798311
S_6911,car,route_5,450.75232009999996
S_7026,truck,route_3,454.050056
S_7058,car,route_5,456.31490049999996
S_7080,car,route_3,457.2655433
S_7116,truck,route_3,457.7810879
S_7127,truck,route_3,458.21605919999996
S_7136,truck,route_3,458.6536063
S_7168,car,route_3,459.9023913
S_7140,car,route_3,460.1946019
S_6997,car,route_5,460.7045947
S_7188,car,route_3,461.2900434
S_7197,car,route_3,461.7993658
S_7191,car,route_3,462.30971769999996
S_7206,car,route_5,462.5312964
S_7187,car,route_5,464.4431111
S_7175,car,route_3,464.9518336
S_7304,car,route_3,466.2070662
S_7314,car,route_3,466.49854389999996
S_7313,car,route_3,467.74097589999997
S_7348,car,route_5,468.6240841
S_7337,car,route_5,470.73985089999996
S_7372,car,route_3,471.3242218
S_7396,motorcycle,route_4,472.71075579999996
S_7361,car,route_3,474.01867799999997
S_7446,car,route_3,476.27965439999997
S_7447,car,route_3,476.4267705
S_7392,car,route_5,478.53951079999996
S_7492,motorcycle,route_4,480.437976
S_7501,motorcycle,route_4,480.72726389999997
S_7505,motorcycle,route_3,481.0948515
S_7444,truck,route_3,482.1141594
S_7541,motorcycle,route_3,482.7729774
S_7568,motorcycle,route_4,484.1609403
S_7637,motorcycle,route_4,486.7199839
S_7645,motorcycle,route_3,486.8653852
S_7516,car,route_5,487.1565986
S_7671,car,route_5,488.5435161
S_7675,car,route_5,488.8343393
S_7669,car,route_5,494.3812377
S_7746,motorcycle,route_3,494.4535037
S_7747,car,route_3,497.23202929999997
S_7824,motorcycle,route_4,502.9329457
S_7833,motorcycle,route_3,503.0782212
S_7852,motorcycle,route_3,503.2957338
S_7853,motorcycle,route_4,503.3683746
S_7856,motorcycle,route_3,503.5189416
S_7857,motorcycle,route_4,503.66407799999996
S_7864,motorcycle,route_3,504.24989009999996
S_7873,car,route_3,504.68849739999996
S_7816,car,route_3,507.24662359999996
S_7807,truck,route_5,507.2466348
S_8038,car,route_5,515.1451772
S_8078,motorcycle,route_4,518.3754610000001
S_8079,motorcycle,route_4,518.5219865
S_8082,motorcycle,route_4,518.6690379
S_8088,motorcycle,route_4,519.2552401
S_8093,motorcycle,route_4,519.4760274
S_8097,motorcycle,route_4,519.6239104
S_8066,car,route_4,523.6558359
S_8176,car,route_3,526.1512944000001
S_8268,motorcycle,route_4,531.5836509000001
S_8272,motorcycle,route_4,531.8775316
S_8372,car,route_4,544.6806567000001
S_8395,car,route_4,544.9741918000001
S_8411,car,route_4,547.1016852
S_8427,car,route_4,549.376938
S_8490,motorcycle,route_3,556.9208512
S_8509,motorcycle,route_4,559.0476719000001
S_8550,car,route_3,562.1195938000001
S_8557,car,route_3,562.6303546
S_8559,car,route_3,563.7998398000001
S_8598,motorcycle,route_4,566.8772575
S_8603,motorcycle,route_4,567.2440127000001
S_8606,motorcycle,route_4,567.3898392000001
S_8610,motorcycle,route_4,567.6094074
S_8684,car,route_3,578.3079856
S_8691,car,route_3,578.7478665
S_8694,car,route_3,579.1164089
S_8696,car,route_3,579.2614827
S_8716,car,route_3,580.8677348
S_8721,car,route_3,581.3042573
S_8762,motorcycle,route_4,585.4106707000001
S_8786,car,route_3,587.0946180000001
S_8799,car,route_3,587.7526702
S_8802,car,route_3,588.1921590000001
S_8806,car,route_3,588.4118474
S_8810,car,route_3,588.7057666000001
S_8925,car,route_3,599.8276901
S_8931,car,route_3,600.7795352
S_8935,car,route_3,601.0739157
S_8940,car,route_3,601.5136960000001
S_8961,car,route_3,604.0718564
S_9142,car,route_3,627.3528653000001
S_9242,truck,route_5,652.8462999000001
S_9389,car,route_3,656.7919837000001
S_9420,car,route_3,661.7676607000001
S_9461,car,route_3,667.8497158
S_9518,car,route_3,678.6206429
S_9572,car,route_3,686.3843353000001
S_9574,car,route_3,687.0438424
S_9605,car,route_3,689.7574882
S_9663,car,route_3,697.7623336
S_9673,car,route_3,700.7706183
S_9723,car,route_3,711.7574119000001
S_9952,car,route_3,735.1487791000001
S_10073,truck,route_4,746.1690925
S_10241,car,route_3,751.3715073000001
S_10266,car,route_4,754.0133027
S_10294,car,route_4,755.5510166
S_10298,car,route_4,756.6523757
S_10325,car,route_4,759.2165401000001
S_10339,car,route_3,759.7992331
S_10366,car,route_4,761.4196282
S_10550,car,route_3,775.1249267000001
S_10639,car,route_3,779.8040807000001
S_10684,car,route_3,783.7539264000001
S_10687,car,route_3,783.9788907000001
S_10647,car,route_4,784.4936552
S_10714,car,route_3,785.665335
S_10716,truck,route_4,785.8101332
S_10720,truck,route_4,786.1041178
S_10762,car,route_3,792.9042011
S_10931,car,route_3,800.1480147000001
S_10942,car,route_3,800.4403897000001
S_10943,car,route_3,800.5858994
S_10952,car,route_3,800.8041018
S_10996,car,route_3,802.1273611
S_11012,car,route_3,802.6423414000001
S_11066,car,route_3,804.404981
S_11074,car,route_5,804.5513152000001
S_11088,car,route_5,804.9931005000001
S_11098,motorcycle,route_3,805.2139814000001
S_11114,motorcycle,route_3,805.724406
S_11084,car,route_3,805.7985443
S_11120,motorcycle,route_3,806.0178500000001
S_11138,car,route_5,806.5364394000001
S_11235,motorcycle,route_4,808.8176818000001
S_11244,motorcycle,route_4,808.9642739000001
S_11249,motorcycle,route_4,809.1115181
S_11263,motorcycle,route_4,809.4095339
S_11220,car,route_3,810.2923285
S_11366,car,route_3,811.9835127
S_11385,motorcycle,route_4,812.6455495
S_11392,car,route_3,812.9388542
S_11399,motorcycle,route_4,813.2317513
S_11403,car,route_5,813.5258978
S_11435,car,route_5,813.8242304
S_11478,car,route_5,815.0765826
S_11574,car,route_5,817.4182646
S_11569,car,route_5,817.4911514
S_11354,car,route_3,817.7134070000001
S_11657,car,route_3,820.1397395
S_11663,car,route_3,820.2858684
S_11613,car,route_3,820.8751159000001
S_11701,car,route_3,821.4588489
S_11639,car,route_4,822.5538812000001
S_11736,car,route_3,823.0026864
S_11741,car,route_3,823.147862
S_11745,car,route_3,823.3657674000001
S_11652,car,route_5,823.7307636
S_11771,car,route_4,824.2414226000001
S_11801,motorcycle,route_3,825.560201
S_11813,motorcycle,route_3,825.8566519000001
S_11751,car,route_5,825.8566672000001
S_11826,car,route_5,826.1517426
S_11838,car,route_5,826.3699873
S_11730,car,route_3,827.7618818000001
S_11914,car,route_3,828.3483284
S_11908,motorcycle,route_3,828.4214107
S_11935,motorcycle,route_3,829.0784474000001
S_12006,car,route_3,831.5745452
S_11883,car,route_3,832.011569
S_12074,car,route_4,833.7007449
S_12094,motorcycle,route_4,833.8514588
S_12100,motorcycle,route_4,833.9976507
S_12110,motorcycle,route_4,834.2148074
S_12115,car,route_3,834.2879226
S_12127,car,route_3,834.5112549
S_12162,motorcycle,route_4,835.6847698
S_12252,motorcycle,route_3,838.456487
S_12064,truck,route_5,838.8979778
S_12143,car,route_4,839.2622906
S_12088,car,route_3,839.3351672
S_12282,car,route_4,839.9220713000001
S_12287,car,route_4,840.3598455
S_12289,car,route_4,840.5777773000001
S_12286,car,route_3,840.6506471
S_12290,car,route_4,840.7212464
S_12296,car,route_4,840.8709722000001
S_12298,car,route_3,840.9437461
S_12301,car,route_3,841.0898390000001
S_12346,car,route_3,842.8569144
S_12389,car,route_4,843.8759773
S_12275,car,route_3,844.1667259000001
S_12402,car,route_4,844.2400201
S_12448,motorcycle,route_3,845.7156179000001
S_12456,motorcycle,route_3,845.9348562
S_12466,car,route_3,847.8325291
S_12533,car,route_3,848.1993983000001
S_12434,car,route_5,848.8587154
S_12550,car,route_3,850.0304054000001
S_12624,car,route_5,850.543668
S_12633,car,route_5,850.7623324
S_12604,car,route_5,852.7422168
S_12615,car,route_3,855.0162107
S_12760,car,route_3,856.9886797
S_12690,car,route_5,860.3486732
S_12837,truck,route_4,861.0736222
S_12853,car,route_3,861.2197891000001
S_12912,car,route_5,861.5835588
S_12918,car,route_5,861.950373
S_12987,motorcycle,route_4,865.6795354000001
S_13019,motorcycle,route_3,867.2058506000001
S_13033,motorcycle,route_3,867.5002053000001
S_13001,motorcycle,route_4,867.9392436
S_13061,motorcycle,route_3,868.45191
S_13070,motorcycle,route_3,868.7442555
S_13076,car,route_3,868.8173697000001
S_13099,motorcycle,route_4,869.6929307
S_12993,car,route_3,873.4059062
S_13184,motorcycle,route_4,874.795875
S_13194,car,route_3,875.2292753
S_13206,motorcycle,route_3,875.8878495
S_13207,motorcycle,route_3,876.0317785000001
S_13211,car,route_3,876.176915
S_13247,motorcycle,route_4,879.7178644
S_13172,car,route_4,882.1374585000001
S_13296,car,route_4,885.4554277000001
S_13365,motorcycle,route_4,895.4061939000001
S_13321,car,route_3,898.3167634
S_13406,car,route_3,902.7571854
S_13420,car,route_5,903.5585951
S_13409,motorcycle,route_3,903.7037202
S_13421,car,route_5,903.7037401
S_13429,motorcycle,route_3,904.4319875
S_13447,car,route_5,905.4509378
S_13448,car,route_3,905.5263
S_13452,car,route_3,905.817622
S_13455,motorcycle,route_3,906.2523173000001
S_13458,motorcycle,route_3,906.4698032
S_13462,motorcycle,route_3,906.8306336
S_13415,car,route_5,907.4871938
S_13476,car,route_3,907.7055374
S_13496,car,route_5,908.3686178
S_13497,car,route_3,908.4410645
S_13520,car,route_5,909.8998564000001
S_13723,car,route_5,936.0912056000001
S_13726,car,route_5,936.3811041
S_13728,motorcycle,route_4,936.6783024
S_13744,motorcycle,route_3,938.4340963000001
S_13745,motorcycle,route_3,938.5105251
S_13756,motorcycle,route_3,939.6036822000001
S_13758,motorcycle,route_3,939.8234668
S_13777,car,route_4,941.4325827
S_13780,car,route_4,941.7223388
S_13785,car,route_4,942.0121675
S_13788,car,route_4,942.2302237
S_13790,car,route_4,942.3775577
S_13791,car,route_4,942.4500287000001
S_13796,car,route_4,943.1876908
