Name,Class,Direction,Time

S_6,motorcycle,route_3,5.193529600000001

S_8,motorcycle,route_3,5.638299600000001

S_9,motorcycle,route_3,5.9253656

S_11,motorcycle,route_3,6.0848977

S_12,motorcycle,route_3,6.325590600000001

S_13,motorcycle,route_3,6.3256015

S_25,motorcycle,route_5,13.217177

S_66,motorcycle,route_3,17.213526899999998

S_80,motorcycle,route_4,20.3391748

S_82,motorcycle,route_4,20.495284899999998

S_86,motorcycle,route_4,20.9586058

S_153,motorcycle,route_5,32.8357461

S_164,motorcycle,route_3,34.6907189

S_147,motorcycle,route_3,34.7659679

S_186,motorcycle,route_3,40.0415936

S_190,motorcycle,route_5,40.0416302

S_198,motorcycle,route_3,41.4582759

S_219,motorcycle,route_3,42.724372699999996

S_199,motorcycle,route_5,43.103441

S_223,motorcycle,route_3,43.698692

S_234,motorcycle,route_3,43.936496399999996

S_243,motorcycle,route_3,44.8967155

S_244,motorcycle,route_3,45.1461059

S_252,motorcycle,route_5,48.1944374

S_265,motorcycle,route_5,48.6855915

S_299,motorcycle,route_3,51.374076

S_401,motorcycle,route_3,59.6954111

S_402,motorcycle,route_3,59.8438287

S_404,motorcycle,route_3,60.20968379999999

S_412,motorcycle,route_4,60.896389600000006

S_435,car,route_5,70.3387126

S_470,car,route_5,71.6400982

S_484,motorcycle,route_3,73.2412063

S_488,motorcycle,route_3,74.2555827

S_492,motorcycle,route_3,74.619826

S_494,motorcycle,route_3,75.4153109

S_568,motorcycle,route_3,87.9569896

S_578,motorcycle,route_3,92.4455797

S_585,motorcycle,route_5,92.7357294

S_588,motorcycle,route_5,93.24589639999999

S_630,motorcycle,route_3,99.4837666

S_720,motorcycle,route_3,118.3699374

S_748,motorcycle,route_4,123.2764007

S_750,motorcycle,route_4,123.785182

S_765,motorcycle,route_4,126.1315983

S_795,motorcycle,route_5,131.94799410000002

S_796,motorcycle,route_5,132.09193050000002

S_799,motorcycle,route_5,132.38062760000003

S_814,motorcycle,route_5,135.0066745

S_880,motorcycle,route_3,142.8804301

S_888,motorcycle,route_3,143.31833450000002

S_889,motorcycle,route_4,143.46295320000002

S_891,motorcycle,route_4,143.46298190000002

S_926,motorcycle,route_4,147.03783620000002

S_929,motorcycle,route_4,147.3270304

S_932,motorcycle,route_4,147.5489555

S_952,motorcycle,route_3,150.67560650000001

S_979,motorcycle,route_3,151.3304927

S_987,motorcycle,route_3,151.839019

S_986,motorcycle,route_3,152.78344360000003

S_988,motorcycle,route_3,156.55743550000003

S_1036,motorcycle,route_3,157.6444458

S_1079,motorcycle,route_3,159.4494689

S_1103,motorcycle,route_4,161.9106299

S_1136,motorcycle,route_5,164.57942740000001

S_1184,motorcycle,route_5,171.5218675

S_1188,motorcycle,route_5,172.1730908

S_1199,motorcycle,route_3,175.13727160000002

S_1202,motorcycle,route_3,175.6488339

S_1265,motorcycle,route_4,180.87246560000003

S_1268,motorcycle,route_3,180.94931920000002

S_1322,car,route_4,197.3024827

S_1753,motorcycle,route_4,223.16016900000002

S_1736,motorcycle,route_5,223.23039050000003

S_1494,car,route_3,223.3733405

S_1790,car,route_3,224.60497070000002

S_1821,motorcycle,route_3,230.38548970000002

S_1813,motorcycle,route_3,230.5286901

S_1823,motorcycle,route_5,230.5287087

S_1827,motorcycle,route_5,231.3282953

S_1828,car,route_3,231.39947790000002

S_1830,motorcycle,route_5,231.54218690000002

S_1832,motorcycle,route_5,231.69052770000002

S_1835,motorcycle,route_3,231.9760778

S_1837,motorcycle,route_5,232.05375840000002

S_1798,car,route_3,233.9516809

S_1851,car,route_3,234.6346114

S_1888,motorcycle,route_5,241.52916190000002

S_1889,motorcycle,route_5,241.8293982

S_1877,motorcycle,route_5,241.8294065

S_1890,motorcycle,route_3,242.06201130000002

S_1892,motorcycle,route_5,243.42225610000003

S_1895,motorcycle,route_5,243.87276820000002

S_1880,car,route_3,246.1057543

S_1908,motorcycle,route_3,247.47210360000003

S_1927,motorcycle,route_4,257.1351694

S_1928,motorcycle,route_4,257.4954985

S_1929,motorcycle,route_4,258.36025140000004

S_1930,motorcycle,route_4,258.6444632

S_1931,motorcycle,route_4,260.2257865

S_1939,motorcycle,route_3,263.7513147

S_1981,motorcycle,route_5,294.2232404

S_1989,motorcycle,route_3,298.3219876

S_1990,motorcycle,route_5,298.39808830000004

S_1993,motorcycle,route_5,298.6859394

S_1986,motorcycle,route_3,299.1166697

S_1995,motorcycle,route_5,299.2591276

S_1997,motorcycle,route_5,299.403675

S_2001,motorcycle,route_5,300.3396537

S_2010,motorcycle,route_5,302.36164180000003

S_2011,motorcycle,route_5,302.6490657

S_2018,motorcycle,route_5,304.4543486

S_2021,motorcycle,route_5,304.525843

S_2022,motorcycle,route_3,304.67143530000004

S_2045,motorcycle,route_5,312.3439057

S_2050,motorcycle,route_3,313.07113780000003

S_2058,motorcycle,route_5,313.7273358

S_2063,motorcycle,route_3,314.3049916

S_2068,motorcycle,route_5,315.3955404

S_2071,motorcycle,route_5,315.89894050000004

S_2081,motorcycle,route_5,317.2848687

S_2086,motorcycle,route_5,317.5022741

S_2087,motorcycle,route_3,317.5022829

S_2090,motorcycle,route_5,317.9347411

S_2080,motorcycle,route_3,318.15195320000004

S_2100,motorcycle,route_3,319.4586279

S_2106,motorcycle,route_3,320.412344

S_2128,motorcycle,route_3,321.7900961

