W_Name,Class,Direction,Time
W_4,car,route_0,6.2465496
W_60,motorcycle,route_0,6.2465703
W_86,motorcycle,route_0,6.3949081
W_81,motorcycle,route_0,6.8370569
W_105,motorcycle,route_1,6.9835001000000005
W_164,motorcycle,route_0,8.6700849
W_178,motorcycle,route_0,8.9626755
W_205,motorcycle,route_0,9.9171998
W_210,motorcycle,route_0,10.1400996
W_252,car,route_2,11.7439304
W_260,car,route_2,11.9629428
W_312,car,route_0,13.9521183
W_322,car,route_0,14.587984
W_278,car,route_0,14.8233887
W_327,car,route_0,14.823421399999999
W_242,car,route_1,15.9165918
W_385,motorcycle,route_0,18.507923599999998
W_390,motorcycle,route_0,18.7434644
W_392,car,route_0,18.899358999999997
W_289,car,route_0,20.498796499999997
W_355,car,route_2,20.587052999999997
W_480,car,route_2,24.4997757
W_485,truck,route_0,25.196073400000003
W_506,car,route_0,28.8687901
W_544,car,route_2,29.298803399999997
W_569,car,route_2,30.274354600000002
W_574,car,route_2,30.451781600000004
W_581,car,route_2,31.0721955
W_584,truck,route_2,32.5841666
W_613,truck,route_2,32.949289300000004
W_637,motorcycle,route_0,34.223790300000005
W_645,motorcycle,route_0,34.4721531
W_664,motorcycle,route_0,35.0013249
W_671,truck,route_2,35.291028000000004
W_597,car,route_0,38.2171675
W_609,car,route_0,38.470482700000005
W_785,car,route_0,40.1770158
W_800,car,route_0,40.6322045
W_801,car,route_0,40.779714500000004
W_811,car,route_0,41.1534519
W_412,car,route_0,42.270382600000005
W_847,car,route_0,42.4927538
W_635,car,route_2,43.8221982
W_733,car,route_0,46.6383874
W_955,car,route_0,47.8167908
W_982,car,route_2,49.2211055
W_986,car,route_2,51.803080200000004
W_1079,car,route_2,55.6440353
W_1026,car,route_2,56.5314921
W_1113,motorcycle,route_1,57.490253700000004
W_1120,motorcycle,route_1,58.0801344
W_1133,car,route_2,58.8249109
W_901,car,route_0,61.343856
W_1198,car,route_2,66.7307957
W_1281,car,route_0,72.9997552
W_1406,car,route_2,78.9678708
W_1591,car,route_2,84.0334863
W_1653,motorcycle,route_2,87.595507
W_1655,motorcycle,route_2,87.7412506
W_1657,motorcycle,route_2,88.10896460000001
W_1709,car,route_0,90.6828035
W_1715,car,route_0,91.1227915
W_1722,car,route_0,91.4194152
W_1728,car,route_2,91.7154942
W_1729,car,route_0,91.86257450000001
W_1742,motorcycle,route_2,92.447109
W_1831,car,route_2,96.50430250000001
W_1839,car,route_2,96.8687211
W_1662,car,route_0,97.5332865
W_1865,motorcycle,route_1,98.12675730000001
W_1883,car,route_2,99.2256693
W_1952,motorcycle,route_1,103.3932415
W_2010,car,route_0,106.6134552
W_1752,car,route_2,107.2724023
W_2055,car,route_2,109.9037586
W_2079,car,route_0,111.3702164
W_2172,motorcycle,route_0,118.40899710000001
W_2175,motorcycle,route_0,118.55414400000001
W_2353,car,route_0,134.22071369999998
W_2392,car,route_0,135.01986259999998
W_2394,car,route_0,135.2413808
W_2398,car,route_0,135.7525202
W_2427,truck,route_0,140.3641621
W_2430,truck,route_0,140.50925099999998
W_2442,truck,route_0,141.8296895
W_2448,motorcycle,route_2,142.4099238
W_2452,motorcycle,route_2,142.7048949
W_2455,motorcycle,route_2,143.1451931
W_2536,truck,route_0,148.9174655
W_2538,truck,route_0,149.0624574
W_2553,truck,route_0,150.01514419999998
W_2555,truck,route_0,150.1609404
W_2559,truck,route_0,150.3062321
W_2566,truck,route_0,150.4558126
W_2575,truck,route_0,151.84129149999998
W_2630,car,route_0,154.54484889999998
W_2735,car,route_0,159.1583794
W_2739,truck,route_0,159.37664909999998
W_2746,car,route_0,160.2487831
W_2765,car,route_0,161.49381449999998
W_2774,car,route_0,162.15071229999998
W_2786,car,route_0,162.73409669999998
W_2790,truck,route_0,162.95316689999999
W_2797,truck,route_0,163.46353009999999
W_2805,car,route_0,163.7608661
W_2826,truck,route_0,165.07676039999998
W_2845,truck,route_0,167.4895652
W_2851,truck,route_0,167.7129411
W_2854,truck,route_0,167.9303123
W_2857,truck,route_0,168.0753144
W_2800,car,route_2,169.318466
W_2932,truck,route_0,173.7821277
W_2959,truck,route_0,175.3305696
W_2963,car,route_0,175.47659499999997
W_3077,car,route_2,182.496715
W_3081,car,route_2,183.00628759999998
W_3089,car,route_0,183.51947669999998
W_3100,car,route_2,184.61088709999999
W_3106,car,route_0,184.8335481
W_3109,car,route_0,184.97849549999998
W_3115,truck,route_2,185.4881917
W_3118,car,route_0,185.9981163
W_3139,car,route_0,186.951417
W_3151,car,route_0,187.46019729999998
W_3166,car,route_0,188.186951
W_3174,car,route_0,188.9967318
W_3178,car,route_0,189.21565289999998
W_3239,car,route_0,192.0646156
W_3253,truck,route_0,192.8020167
W_3265,car,route_1,193.31751219999998
W_3271,truck,route_0,193.3904327
W_3280,truck,route_0,193.683089
W_3295,car,route_1,194.0504656
W_3296,car,route_1,194.20045639999998
W_3312,car,route_0,195.1551209
W_3313,car,route_0,195.1551295
W_3316,car,route_0,195.44681839999998
W_3328,truck,route_1,195.8893726
W_3340,car,route_0,196.47097699999998
W_3349,truck,route_0,196.9846163
W_3350,car,route_0,197.2023864
W_3380,car,route_0,198.82188349999998
W_3387,car,route_0,199.0416788
W_3399,car,route_2,199.6273559
W_3405,car,route_2,199.99343009999998
W_3416,car,route_0,200.433733
W_3443,car,route_2,201.6050551
W_3478,truck,route_0,205.1913501
W_3499,truck,route_0,205.62867319999998
W_3498,truck,route_2,205.84649009999998
W_3508,truck,route_2,206.06911749999998
W_3514,truck,route_2,206.2884278
W_3339,truck,route_0,206.5852469
W_3554,car,route_1,209.36937479999997
W_3531,truck,route_0,209.4430286
W_3560,car,route_0,210.03412039999998
W_3563,car,route_0,210.3311636
W_3565,car,route_2,210.47755049999998
W_3517,truck,route_0,210.77074639999998
W_3579,car,route_0,211.06298969999997
W_3572,car,route_1,211.0629993
W_3581,car,route_0,211.20861539999999
W_3638,car,route_2,217.93684969999998
W_3684,car,route_1,219.9981719
W_3736,car,route_1,223.59768219999998
W_3879,motorcycle,route_2,234.7958426
W_3883,motorcycle,route_2,234.9427753
W_3891,motorcycle,route_2,235.23584929999998
W_3908,motorcycle,route_2,236.77985569999998
W_3917,motorcycle,route_2,237.58609209999997
W_3922,motorcycle,route_2,237.731674
W_3963,truck,route_0,240.3014136
W_3994,car,route_0,242.42965139999998
W_4025,truck,route_0,245.72381249999998
W_4048,car,route_0,245.94387569999998
W_4056,car,route_0,246.6763273
W_4385,motorcycle,route_2,264.86136150000004
W_4390,motorcycle,route_2,265.0808803
W_4395,motorcycle,route_2,265.3003822
W_4400,motorcycle,route_2,265.5195906
W_4450,car,route_0,268.59591470000004
W_4474,car,route_0,270.42380230000003
W_4475,car,route_0,273.6546624
W_4448,car,route_0,275.0386744
W_4549,car,route_0,275.1115951
W_4560,car,route_0,275.8451941
W_4580,car,route_0,277.1598732
