N_Name,Class,Direction,Time
N_4232,car,route_10,469.9615149
N_4234,car,route_10,470.1083881
N_4235,car,route_10,470.3967923
N_4237,car,route_10,470.7590602
N_4215,car,route_9,471.1956247
N_4314,car,route_9,485.61234160000004
N_4319,car,route_9,486.1914764
N_4321,truck,route_9,487.50172510000004
N_4339,car,route_11,489.7524833
N_4342,car,route_10,489.897419
N_4345,car,route_10,490.0409831
N_4359,motorcycle,route_9,491.85899040000004
N_4344,car,route_9,495.3677396
N_4392,car,route_9,496.1661959
N_4393,car,route_9,496.4547117
N_4395,car,route_9,497.0362509
N_4456,car,route_9,502.7853301
N_4459,car,route_9,503.1510256
N_4477,car,route_10,505.85171610000003
N_4471,bus,route_9,505.9233549
N_4485,car,route_10,506.14143110000003
N_4487,car,route_10,506.5100254
N_4513,motorcycle,route_10,510.25913390000005
N_4457,car,route_9,512.2267499000001
N_4543,motorcycle,route_10,513.1694651
N_4537,car,route_9,517.1100797
N_4544,car,route_10,519.3014420000001
N_4576,car,route_10,519.5953406
N_4546,car,route_9,521.2054241
N_4641,car,route_10,527.7831254
N_4646,car,route_10,528.878559
N_4647,car,route_9,531.3638015
N_4706,car,route_10,535.5895206
N_4713,car,route_10,536.1725277
N_4718,car,route_10,536.4658112
N_4722,car,route_10,536.6164931000001
N_4746,motorcycle,route_9,539.1653733
N_4753,motorcycle,route_9,539.3820201
N_4767,car,route_10,540.7135069
N_4782,motorcycle,route_9,542.2175752
N_4772,car,route_9,545.4985810000001
N_4818,car,route_9,547.2489842
N_4820,car,route_9,547.3933969
N_4821,car,route_10,547.6167783
N_4989,car,route_9,566.3448187
N_5079,motorcycle,route_10,574.6789488000001
N_5092,motorcycle,route_9,575.3303063
N_5094,motorcycle,route_9,575.4013692
N_5105,motorcycle,route_9,577.7219623
N_5110,motorcycle,route_9,578.0151197
N_5107,car,route_10,579.1759470000001
N_5118,car,route_10,580.0454377
N_5123,motorcycle,route_10,580.6247788000001
N_5132,motorcycle,route_9,581.717889
N_5161,motorcycle,route_9,594.3625216
N_5196,motorcycle,route_9,601.7448739
N_5234,motorcycle,route_9,608.1126811
N_5236,motorcycle,route_9,608.5486154
N_5261,motorcycle,route_9,615.7952519
N_5262,motorcycle,route_9,616.0817515
N_5282,motorcycle,route_9,618.4645382
N_5306,motorcycle,route_10,621.3667927
N_5319,car,route_9,627.5876625
N_5411,motorcycle,route_9,635.9655462000001
N_5413,motorcycle,route_9,636.1153678000001
N_5428,motorcycle,route_9,638.2268242
N_5418,car,route_10,638.6613884
N_5432,car,route_10,639.0988537000001
N_5450,truck,route_10,641.2897856
N_5486,motorcycle,route_10,643.7812178
N_5489,motorcycle,route_9,646.2598308
N_5560,motorcycle,route_10,651.4260417
N_5596,motorcycle,route_9,655.4270299
N_5597,motorcycle,route_9,655.5716057
N_5651,motorcycle,route_9,659.3526518
N_5676,motorcycle,route_9,661.9027426
N_5816,car,route_10,675.3061611
N_5826,car,route_10,675.7412863000001
N_5830,car,route_10,676.1806406000001
N_5883,car,route_10,683.8485951
N_5887,car,route_10,684.9436779
N_5889,car,route_10,685.0900088
N_5890,car,route_10,685.237193
N_5891,car,route_10,685.3832502
N_5898,car,route_10,686.2643365
N_5900,car,route_10,686.4094918000001
N_5904,car,route_10,687.1380869
N_5905,car,route_10,687.3559655
N_5906,car,route_10,687.5738342
N_5908,motorcycle,route_9,688.0876172000001
N_5909,car,route_10,688.3046956000001
N_5913,car,route_10,689.2613536
N_5982,car,route_10,700.4302564
N_6037,car,route_10,704.9575861000001
N_6074,car,route_9,709.3853244000001
N_6083,car,route_9,709.7574538
N_6260,bus,route_10,725.7117199
N_6282,car,route_10,726.0735763
N_6290,car,route_10,726.8027928
N_6305,car,route_9,729.1340680000001
N_6309,car,route_9,729.2843745
N_6310,car,route_9,729.284384
N_6321,car,route_9,730.0066503
N_6294,car,route_10,730.7387716000001
N_6331,car,route_11,731.1059832
N_6335,motorcycle,route_9,731.250098
N_6347,motorcycle,route_9,733.6521768
N_6410,motorcycle,route_10,735.9046859
N_6481,motorcycle,route_9,743.6670727000001
N_6486,motorcycle,route_10,744.1710408
N_6489,motorcycle,route_9,744.3860998
N_6479,car,route_9,744.4576691
N_6495,motorcycle,route_9,744.965688
N_6459,car,route_10,745.6880435
N_6520,motorcycle,route_11,748.5119938
N_6523,motorcycle,route_9,748.6560735
N_6518,motorcycle,route_10,749.0914251
N_6609,motorcycle,route_10,757.5962709
N_6590,car,route_10,757.8126832
N_6658,motorcycle,route_10,762.3840764
N_6694,motorcycle,route_10,767.9288189
N_6700,motorcycle,route_9,769.0943389
N_6748,motorcycle,route_10,775.6597493
N_6773,motorcycle,route_9,777.7722643
N_6776,motorcycle,route_10,777.8441362
N_6777,motorcycle,route_10,778.2797471
N_6778,motorcycle,route_9,778.2797657
N_6815,motorcycle,route_9,782.0013711
N_6818,motorcycle,route_9,782.3686087
N_6893,motorcycle,route_9,789.0006158
N_6909,motorcycle,route_9,791.1119406
N_6950,motorcycle,route_10,796.8170944
N_6948,motorcycle,route_10,798.1303811
N_6971,motorcycle,route_9,800.471946
N_6981,motorcycle,route_9,801.8588047000001
N_6998,motorcycle,route_10,804.2532495
N_7017,motorcycle,route_9,805.1317422
N_7019,motorcycle,route_10,805.6469879
N_7045,motorcycle,route_9,808.3490237
N_7047,motorcycle,route_9,808.5667721
N_7075,motorcycle,route_9,810.8975369
