Name,Class,Direction,Time

E_7,bus,route_6,5.005905800000001

E_0,car,route_7,7.922743800000001

E_37,car,route_6,8.0824694

E_102,car,route_8,12.27563

E_146,car,route_6,16.257693500000002

E_154,bus,route_6,17.049521600000002

E_160,car,route_6,17.5053029

E_163,bus,route_6,17.655533300000002

E_228,car,route_6,24.4286733

E_269,car,route_7,25.3314736

E_284,car,route_7,26.5539989

E_319,bus,route_7,28.5214642

E_483,car,route_7,37.860882700000005

E_526,bus,route_7,41.0079107

E_640,car,route_7,46.687492899999995

E_667,bus,route_6,48.2273866

E_778,car,route_7,54.7122442

E_781,car,route_6,54.7122511

E_788,car,route_6,55.006371099999996

E_792,car,route_6,55.228554

E_804,car,route_7,55.882636899999994

E_1144,car,route_7,75.63504060000001

E_1217,bus,route_6,88.3734689

E_1262,bus,route_7,92.5840546

E_1479,car,route_7,107.2153899

E_1754,car,route_7,122.37088820000001

E_1762,car,route_7,123.3154395

E_1767,car,route_7,123.5319749

E_1618,bus,route_6,143.9902752

E_2168,bus,route_6,158.5575267

E_2254,car,route_7,164.5990516

E_2266,car,route_7,165.3238134

E_2350,bus,route_7,169.1091425

E_2354,bus,route_7,169.2569843

E_2363,bus,route_7,169.4741105

E_2600,car,route_7,178.5105052

E_2603,car,route_6,178.8012909

E_2611,bus,route_6,178.95127200000002

E_2620,car,route_8,179.09876260000001

E_2623,bus,route_6,179.2439077

E_2635,bus,route_7,179.8223374

E_2627,truck,route_8,183.8985546

E_2688,truck,route_6,184.338885

E_2713,truck,route_8,184.482879

E_2838,truck,route_8,190.8025549

E_2830,bus,route_6,193.6366204

E_2939,bus,route_6,193.7845997

E_2978,bus,route_6,195.8177102

E_2876,truck,route_8,195.9611796

E_3006,bus,route_6,197.5572033

E_3039,truck,route_8,200.3783927

E_3063,car,route_8,203.1240238

E_3110,car,route_6,203.7793819

E_3119,car,route_6,204.13961170000002

E_3212,car,route_8,206.8303048

E_3219,car,route_8,206.9776263

E_3233,truck,route_6,207.4162302

E_3229,truck,route_8,207.6322414

E_3248,truck,route_6,207.8513324

E_3251,truck,route_6,207.9258662

E_3253,truck,route_6,208.0699879

E_3272,car,route_8,208.3612109

E_3300,car,route_6,210.1135247

E_3338,car,route_6,210.9893822

E_3370,car,route_8,211.5749811

E_3317,truck,route_8,211.7963774

E_3408,car,route_8,212.8102567

E_3318,car,route_7,213.3919596

E_3440,car,route_6,213.760536

E_3446,car,route_6,213.90513380000002

E_3394,car,route_8,216.1637081

E_3396,car,route_6,217.7007228

E_3555,car,route_8,218.3525429

E_3596,car,route_6,220.6889767

E_3479,car,route_7,223.8738223

E_3660,car,route_6,224.96837630000002

E_3671,car,route_8,225.9138732

E_3721,car,route_8,229.5489382

E_3732,truck,route_8,229.8415538

E_3722,bus,route_6,230.2041551

E_3744,car,route_7,230.5655159

E_3771,car,route_6,232.4504703

E_3791,car,route_6,233.03210520000002

E_3742,car,route_8,233.1769734

E_3798,car,route_6,233.3965447

E_3761,car,route_7,234.26531260000002

E_3828,car,route_8,235.7243186

E_3803,car,route_8,235.7972359

E_3781,bus,route_6,235.7972559

E_3851,car,route_8,236.8109225

E_3872,car,route_6,238.7707147

E_3877,car,route_7,239.2763916

E_3886,bus,route_6,240.0735945

E_3899,truck,route_8,240.7239886

E_3944,bus,route_6,243.1860617

E_3956,car,route_6,245.5022001

E_3983,car,route_6,246.083221

E_3964,car,route_8,246.2276602

E_3994,car,route_8,246.589254

E_4023,truck,route_6,251.7097498

E_4198,truck,route_7,265.2185357

E_4209,car,route_6,266.3833665

E_4277,car,route_6,271.6760787

E_4279,car,route_6,271.8371566

E_4285,car,route_6,272.2261295

E_4290,car,route_6,272.7583621

E_4303,car,route_6,275.1789927

E_4304,car,route_6,275.3520533

E_4343,car,route_6,279.5002981

E_4353,motorcycle,route_7,280.0034138

E_4394,car,route_6,283.36689210000003

E_4415,car,route_6,284.4963819

E_4424,car,route_6,284.9502274

E_4439,car,route_6,286.8462003

E_4444,car,route_6,287.2521534

E_4446,car,route_6,287.6401938

E_4559,car,route_6,303.1764604

E_4565,car,route_6,304.4862657

E_4658,car,route_6,315.3571717

E_4684,car,route_6,318.6317739

E_4689,car,route_6,318.9920967

E_4693,car,route_6,319.1370256

E_4703,car,route_6,319.5038857

E_4706,car,route_6,319.6484956

E_4708,car,route_6,320.007749

E_4715,car,route_6,320.5161735

E_4718,car,route_6,320.660045

E_4788,car,route_6,326.3901553

E_4802,car,route_6,327.2658683

E_4823,car,route_6,328.6410125

E_4878,car,route_6,331.69076

E_4884,car,route_6,331.9118218

E_4893,car,route_6,332.3474038

E_4894,car,route_6,332.34741610000003

E_4901,car,route_6,332.5661426

E_4905,car,route_6,332.9282896

E_4910,car,route_6,333.0722837

E_4913,car,route_6,333.2911378

E_4921,car,route_6,333.7294594

E_4937,car,route_6,334.4599416

E_4944,car,route_6,334.6767818

E_4971,car,route_6,336.4871376

E_4986,motorcycle,route_7,337.5761836

E_5027,car,route_6,339.4560755

E_5046,car,route_6,340.4046111

E_5048,car,route_6,340.7646523

E_5052,car,route_6,341.0528198

E_5054,truck,route_7,341.26995750000003

E_5070,car,route_6,341.997574

E_5072,car,route_6,342.3639309

E_5115,motorcycle,route_7,344.0416922

E_5120,car,route_6,344.70145180000003

E_5122,car,route_6,344.8472074

E_5123,car,route_6,344.9192985

E_5126,car,route_6,345.1347983

E_5128,car,route_6,345.3506675

E_5133,car,route_6,345.9291997

E_5142,car,route_6,346.436397

E_5150,car,route_6,347.0154045

E_5157,car,route_6,347.1607762

E_5162,car,route_6,347.3786716

E_5165,car,route_7,347.522022

E_5171,car,route_6,347.8106206

E_5177,car,route_6,348.1752371

E_5184,car,route_6,348.6126531

E_5212,car,route_7,353.1754448

E_5218,car,route_6,354.119635

E_5243,car,route_6,355.853815

E_5269,car,route_6,358.2409291

E_5276,car,route_6,358.74862360000003

E_5310,car,route_6,362.8096871

E_5315,car,route_6,363.5356

E_5334,car,route_6,365.7741923

E_5369,car,route_6,368.747346

E_5381,car,route_6,369.8394003

E_5387,car,route_6,370.2011322

E_5388,car,route_6,370.5631578

E_5397,car,route_6,372.2985081

E_5400,car,route_6,373.0913205

E_5410,car,route_6,374.1083805

E_5418,car,route_6,374.9777931

E_5441,car,route_6,376.9359305

E_5442,car,route_6,377.0869939

E_5445,car,route_6,377.3030453

E_5451,car,route_6,377.6686701

E_5453,car,route_6,377.8162228

E_5458,car,route_6,378.2516436

E_5473,car,route_6,379.3422436

E_5480,car,route_6,379.7838974

E_5487,car,route_6,380.2178855

E_5530,car,route_6,382.4719242

E_5534,car,route_6,382.6922936

E_5554,car,route_6,383.5615369

