W_Name,Class,Direction,Time
W_40,car,route_1,7.431955100000001
W_28,car,route_0,7.4319616
W_26,car,route_0,8.992480100000002
W_49,car,route_1,10.8411395
W_98,car,route_0,11.962363400000001
W_128,car,route_0,12.627502499999999
W_137,car,route_0,12.9249735
W_194,car,route_1,14.766661299999999
W_191,car,route_0,15.2109952
W_217,car,route_0,16.087711300000002
W_243,car,route_0,17.1950735
W_199,car,route_1,17.2709484
W_264,car,route_0,18.005019
W_266,car,route_0,18.1542207
W_245,car,route_0,18.3009338
W_272,car,route_0,18.3009562
W_325,motorcycle,route_0,20.6661118
W_301,car,route_0,20.8867364
W_209,car,route_1,21.6210224
W_242,car,route_0,22.646173400000002
W_377,car,route_1,23.302438300000002
W_381,car,route_1,23.4488314
W_442,car,route_0,26.6756619
W_469,motorcycle,route_1,27.3332848
W_468,car,route_2,28.208673100000002
W_504,car,route_0,29.0972172
W_479,truck,route_1,29.316086000000002
W_545,car,route_0,30.6426442
W_541,car,route_0,30.933789600000004
W_554,car,route_0,31.0064054
W_547,car,route_1,31.0064318
W_569,car,route_0,31.304541399999998
W_566,car,route_2,31.3045683
W_580,car,route_0,31.6681428
W_583,car,route_2,31.7411063
W_584,car,route_0,31.8176586
W_607,motorcycle,route_0,33.057059
W_619,car,route_0,33.5681322
W_645,car,route_2,34.3718978
W_656,car,route_2,34.964488
W_559,car,route_1,35.9276573
W_561,car,route_0,37.1588373
W_726,motorcycle,route_0,38.7867558
W_738,motorcycle,route_0,40.006299500000004
W_748,motorcycle,route_2,40.980686
W_817,motorcycle,route_2,43.3816099
W_733,car,route_1,43.5270192
W_862,motorcycle,route_0,44.9130378
W_866,motorcycle,route_0,44.9860286
W_878,motorcycle,route_0,45.278716100000004
W_886,motorcycle,route_0,45.4278712
W_894,motorcycle,route_0,45.572251800000004
W_899,motorcycle,route_0,45.717316000000004
W_893,motorcycle,route_0,45.7893847
W_907,motorcycle,route_0,45.86239
W_778,car,route_1,47.1079886
W_961,motorcycle,route_0,47.8368579
W_968,car,route_1,48.7837398
W_988,car,route_0,49.2957662
