Name,Class,Direction,Time
E_5282,car,route_8,335.3362585

E_5366,truck,route_8,340.503426

E_5403,truck,route_8,342.588403

E_5484,car,route_7,349.0242952

E_5500,car,route_7,350.9583952

E_5494,truck,route_8,351.3398808

E_5514,truck,route_8,352.2464532

E_5546,truck,route_8,355.5282871

E_5548,truck,route_8,355.8383042

E_5668,truck,route_8,364.8272644

E_5671,truck,route_7,366.3512629

E_5735,truck,route_8,373.6639109

E_5843,truck,route_8,375.7011292

E_5856,car,route_7,376.2900359

E_6562,truck,route_8,426.9165134

E_6574,car,route_7,427.4214214

E_6579,car,route_7,427.6429717

E_6968,car,route_7,458.8811833

E_6970,car,route_7,459.09802510000003

E_6994,bus,route_7,460.77052150000003

E_7032,bus,route_7,464.1240259

E_7111,truck,route_8,472.2044675

E_7221,truck,route_8,481.8764226

E_7157,truck,route_7,482.2474793

E_7242,car,route_7,483.2712115

E_7360,car,route_6,493.4508817

E_7449,car,route_7,498.39933030000003

E_7459,car,route_6,498.6918753

E_7476,car,route_7,499.3485568

E_7620,car,route_6,505.5502781

E_7675,car,route_6,508.03009340000006

E_7808,car,route_6,512.9058117

E_7856,bus,route_6,513.5688083

E_7868,bus,route_8,514.0042374

E_7956,car,route_6,516.4086781

E_7964,bus,route_7,517.2872232

E_7992,car,route_7,517.4321101

E_7987,bus,route_8,521.0093611

E_8006,bus,route_6,522.0980839

E_8175,car,route_6,524.2876045

E_8188,truck,route_7,524.7935043

E_8235,car,route_6,526.4068609

E_8238,car,route_6,526.550763

E_8232,truck,route_8,527.1309646

E_8259,truck,route_6,527.5699929

E_8274,car,route_6,528.2941093000001

E_8293,truck,route_6,530.4152865

E_8325,car,route_7,530.8507462

E_8329,motorcycle,route_6,530.9232215

E_8343,car,route_6,531.4381062

E_8356,truck,route_7,532.2337755

E_8370,car,route_7,532.5263018

E_8389,truck,route_8,534.7128577

E_8453,truck,route_6,537.6946148

E_8463,car,route_8,538.9296159

E_8480,motorcycle,route_6,538.9296345

