W_Name,Class,Direction,Time
W_35,car,route_2,7.3568899000000005
W_47,car,route_2,8.793318600000001
W_58,motorcycle,route_1,13.709428500000001
W_59,motorcycle,route_1,13.8620353
W_60,motorcycle,route_1,14.0858526
W_61,motorcycle,route_1,14.461731700000001
W_150,motorcycle,route_1,24.2602525
W_328,bus,route_2,51.618614699999995
W_392,car,route_2,58.886837199999995
W_421,motorcycle,route_1,61.992424
W_423,motorcycle,route_1,62.2171
W_526,car,route_0,70.847427
W_529,car,route_0,70.9975065
W_595,bus,route_0,80.6725914
W_605,truck,route_2,81.2779048
W_850,car,route_2,100.6198366
W_910,car,route_2,105.1610496
W_915,car,route_2,105.61282659999999
W_926,car,route_2,106.9744886
W_975,car,route_0,111.9591165
W_1068,car,route_0,122.9795017
W_1129,car,route_0,132.9008019
W_1419,bus,route_2,161.87798940000002
W_1437,car,route_0,163.1863566
W_1529,motorcycle,route_0,167.1169082
W_1532,motorcycle,route_0,167.33871100000002
W_1605,motorcycle,route_0,172.3578262
W_1602,motorcycle,route_0,172.4302959
W_1612,motorcycle,route_0,173.0122737
W_1616,motorcycle,route_0,174.0283076
W_1624,motorcycle,route_0,174.2481961
W_1631,motorcycle,route_0,174.9019864
W_1646,motorcycle,route_0,176.13667170000002
W_1674,motorcycle,route_0,178.1696101
W_1708,motorcycle,route_0,183.12118550000002
W_1728,motorcycle,route_0,184.8604856
W_1780,motorcycle,route_0,192.479452
W_1783,motorcycle,route_0,193.13407220000002
W_1777,car,route_0,194.2177741
W_1785,car,route_0,194.4391942
W_1790,car,route_0,195.38543
W_1806,motorcycle,route_0,205.8099962
W_1831,motorcycle,route_0,214.72505950000001
W_1874,motorcycle,route_0,220.2309803
W_1877,motorcycle,route_0,220.80882530000002
W_1875,car,route_0,224.58592430000002
W_1896,car,route_0,225.89312410000002
W_1920,motorcycle,route_1,230.2593338
W_2025,motorcycle,route_0,243.55401270000002
W_2035,motorcycle,route_1,244.4238756
W_2039,motorcycle,route_1,244.71883530000002
W_2040,motorcycle,route_0,244.9357876
W_2044,motorcycle,route_0,245.2256874
W_2049,motorcycle,route_0,245.73862250000002
W_2074,motorcycle,route_0,247.8560122
W_2139,motorcycle,route_0,253.0226586
W_2138,motorcycle,route_1,253.09505140000002
W_2141,motorcycle,route_2,253.3858891
W_2034,car,route_0,256.44497210000003
W_2218,motorcycle,route_0,271.0151339
W_2222,motorcycle,route_1,273.195674
W_2331,motorcycle,route_0,288.3946366
W_2336,motorcycle,route_0,288.8273527
W_2339,motorcycle,route_0,289.19563980000004
W_2348,motorcycle,route_0,289.70555790000003
W_2350,motorcycle,route_0,289.85201720000003
W_2374,motorcycle,route_0,291.3811126
W_2376,motorcycle,route_0,291.6708903
W_2377,motorcycle,route_0,291.8163558
W_2378,motorcycle,route_2,291.81636480000003
W_2381,motorcycle,route_0,291.9625112
W_2399,motorcycle,route_1,293.3495659
W_2354,car,route_0,294.948592
W_2447,motorcycle,route_0,296.4812389
W_2452,motorcycle,route_0,296.6985743
W_2480,motorcycle,route_1,298.3759612
W_2488,motorcycle,route_1,298.8136766
W_2431,car,route_0,299.1036816
W_2495,motorcycle,route_1,299.39491300000003
W_2500,motorcycle,route_1,299.61821660000004
W_2567,motorcycle,route_0,303.4858094
W_2570,motorcycle,route_0,303.77532130000003
W_2575,car,route_0,304.4998073
W_2551,truck,route_0,307.1218675
W_2603,truck,route_2,307.9249941
W_2622,car,route_0,312.1433659
W_2663,motorcycle,route_2,319.0556797
W_2665,motorcycle,route_2,319.2732886
W_2700,motorcycle,route_0,323.13203830000003
W_2703,motorcycle,route_0,323.6423363
W_2746,motorcycle,route_1,326.9965532
W_2660,car,route_0,327.0684427
W_2750,motorcycle,route_0,329.03616320000003
W_2774,motorcycle,route_0,329.54959460000003
W_2787,motorcycle,route_0,330.86205970000003
W_2855,motorcycle,route_1,338.074558
W_2856,motorcycle,route_1,338.584671
W_2867,motorcycle,route_0,339.96411570000004
W_2869,motorcycle,route_0,340.10862380000003
W_2877,motorcycle,route_1,341.6014503
W_2880,motorcycle,route_1,341.7606822
W_2919,truck,route_0,349.3772682
W_2916,car,route_0,354.3400549
W_2914,car,route_0,354.4119973
W_2976,motorcycle,route_0,357.0435494
W_2982,car,route_0,358.3623758
W_2915,car,route_0,359.09522730000003
W_2990,car,route_0,359.82893310000003
W_2991,car,route_0,360.0472448
W_3018,car,route_0,363.1133847
W_3028,car,route_0,363.8450657
W_3029,motorcycle,route_0,363.98908240000003
W_3046,car,route_0,366.6072631
W_3047,car,route_0,366.7615635
W_3092,car,route_0,374.47598750000003
W_3093,car,route_0,374.7640512
W_3095,car,route_0,375.0544396
W_3103,motorcycle,route_0,376.14760390000004
W_3123,car,route_0,378.4796075
W_3147,car,route_0,382.1904437
W_3200,car,route_0,389.4049863
W_3202,car,route_0,389.6215257
W_3203,car,route_0,389.7658895
W_3212,car,route_0,390.56596590000004
W_3181,car,route_0,392.1719152
W_3237,car,route_0,392.97093340000004
W_3246,car,route_0,393.4815419
W_3261,car,route_0,394.2830812
W_3265,car,route_0,394.4306752
W_3326,motorcycle,route_0,400.4969557
W_3332,motorcycle,route_2,400.8600543
W_3343,car,route_0,402.03013400000003
W_3348,car,route_0,402.4653871
W_3363,car,route_0,403.63000900000003
W_3364,car,route_0,403.7777889
W_3376,car,route_0,404.5065273
W_3287,truck,route_2,404.5817116
W_3481,car,route_0,414.8555235
W_3494,car,route_0,418.4227224
W_3499,motorcycle,route_1,418.4943985
W_3504,motorcycle,route_1,418.7867318
W_3515,motorcycle,route_1,419.8039963
W_3524,car,route_0,421.6991502
W_3529,car,route_0,422.5791519
W_3533,car,route_0,423.0128174
W_3536,car,route_0,424.4097401
W_3542,car,route_0,425.1328586
W_3545,car,route_0,425.4998155
W_3546,car,route_0,425.644188
W_3573,car,route_0,429.43739980000004
W_3587,car,route_0,431.2604933
W_3598,car,route_0,432.6428157
W_3601,car,route_0,433.2258727
W_3604,car,route_1,433.590114
W_3605,car,route_1,433.7345791
W_3607,car,route_1,433.8840376
W_3611,car,route_1,434.3982409
W_3615,car,route_1,434.976839
W_3618,car,route_0,436.7935368
W_3625,car,route_0,437.3793945
W_3638,car,route_0,439.2774951
W_3644,car,route_0,439.93370980000003
W_3645,car,route_0,440.2233441
W_3668,car,route_1,441.53714940000003
W_3675,car,route_0,441.97304560000003
W_3681,car,route_1,442.1915096
W_3689,car,route_0,442.4863651
W_3698,car,route_0,442.9214955
W_3702,car,route_0,443.1384223
W_3707,car,route_0,443.5018546
W_3737,motorcycle,route_0,445.3230663
W_3790,motorcycle,route_0,447.0764828
W_3797,motorcycle,route_0,447.2237132
W_3900,motorcycle,route_0,450.4497209
W_3907,motorcycle,route_0,450.595183
W_3946,car,route_0,452.0523251
W_3948,car,route_0,452.2701563
W_3949,motorcycle,route_1,452.3424351
W_3951,car,route_0,452.4145785
W_3989,motorcycle,route_1,454.246893
W_4108,motorcycle,route_0,463.1320938
W_4134,motorcycle,route_1,464.6605586
W_4141,motorcycle,route_0,465.09278770000003
W_4073,truck,route_0,466.18779240000003
W_4151,motorcycle,route_0,466.18783160000004
W_4156,motorcycle,route_0,466.5501256
W_4160,motorcycle,route_0,466.6944798
W_4164,motorcycle,route_0,466.8436405
W_4175,motorcycle,route_1,467.7130639
W_4181,motorcycle,route_1,468.0778515
W_4192,car,route_0,472.1539704
W_4194,car,route_1,475.0738268
W_4267,motorcycle,route_0,477.6923845
W_4099,truck,route_0,482.1235365
W_4295,truck,route_0,482.3433771
W_4308,motorcycle,route_0,483.7171094
W_4310,motorcycle,route_0,483.7893801
W_4326,motorcycle,route_0,485.7503483
W_4345,motorcycle,route_0,486.0410144
W_4358,motorcycle,route_0,487.1346753
W_4371,motorcycle,route_1,487.4237887
W_4304,car,route_0,489.3894659
W_4409,motorcycle,route_1,490.774735
W_4332,car,route_0,493.3253414
W_4446,motorcycle,route_0,495.27816160000003
W_4449,motorcycle,route_0,495.4224089
W_4450,motorcycle,route_0,495.9326383
W_4453,motorcycle,route_0,496.43918510000003
W_4508,motorcycle,route_0,504.6527532
W_4510,truck,route_0,505.9586873
W_4526,truck,route_0,506.1023421
W_4557,truck,route_2,509.3784384
W_4575,motorcycle,route_0,511.7819847
W_4613,motorcycle,route_0,513.8197117
W_4614,motorcycle,route_1,514.2560353
W_4630,motorcycle,route_1,514.9116257
W_4663,motorcycle,route_0,516.3697294
W_4684,motorcycle,route_0,517.9741263
W_4687,motorcycle,route_0,518.1259015999999
W_4714,motorcycle,route_0,520.3129626
W_4718,motorcycle,route_0,520.9744018
W_4753,motorcycle,route_0,522.7224613999999
W_4771,motorcycle,route_1,523.6728512999999
W_4780,motorcycle,route_1,524.0359589
W_4835,motorcycle,route_0,526.9556729999999
W_4845,motorcycle,route_0,527.5367229
W_4860,motorcycle,route_0,528.1944196
W_4871,motorcycle,route_0,528.2662349999999
W_4880,motorcycle,route_0,528.4826974
W_4840,motorcycle,route_0,528.9211144999999
W_4912,motorcycle,route_0,532.0607633999999
W_5000,motorcycle,route_0,534.268754
W_5005,motorcycle,route_0,534.4914084999999
W_5011,motorcycle,route_1,534.7869135999999
W_5014,motorcycle,route_1,534.9317165
W_4999,motorcycle,route_0,535.4418790999999
W_4927,car,route_0,538.7219583
W_5035,car,route_0,544.5720616
W_5121,motorcycle,route_0,545.3741431
W_5132,car,route_0,548.9426255
W_5248,car,route_0,554.4126175
W_5274,motorcycle,route_0,556.0179168
W_5301,motorcycle,route_0,556.890643
W_5325,motorcycle,route_1,558.7180281
W_5327,motorcycle,route_1,559.0840314
W_5334,motorcycle,route_1,559.372856
W_5331,car,route_0,559.4450297999999
W_5337,motorcycle,route_1,559.5898993
W_5339,car,route_0,559.7365728999999
W_5349,car,route_0,560.25005
W_5370,motorcycle,route_1,561.4163464999999
W_5378,motorcycle,route_0,561.9975942
W_5393,motorcycle,route_0,562.9437572999999
W_5419,car,route_2,565.1303544
W_5425,car,route_2,565.5691327999999
W_5429,car,route_2,566.0794456
W_5436,car,route_2,566.3678126
W_5472,motorcycle,route_2,570.3001095
W_5297,car,route_0,570.4483004
W_5515,car,route_0,573.9575937999999
W_5518,car,route_0,574.1027723999999
W_5408,car,route_0,574.5398329999999
W_5579,motorcycle,route_1,577.4618506999999
W_5546,car,route_0,581.8330947999999
W_5701,motorcycle,route_0,586.2100729
W_5718,motorcycle,route_0,588.1779915
W_5722,motorcycle,route_0,588.6886619999999
