N_Name,Class,Direction,Time
N_4774,car,route_9,210.41274230000002
N_4777,car,route_9,210.5703482
N_4770,motorcycle,route_10,210.72468360000002
N_4798,motorcycle,route_10,211.1094161
N_4810,motorcycle,route_9,211.5780927
N_4816,motorcycle,route_9,212.12151400000002
N_4834,motorcycle,route_9,212.50256770000001
N_4856,motorcycle,route_10,213.19268730000002
N_4859,motorcycle,route_9,213.3473658
N_4849,motorcycle,route_9,213.42380980000002
N_4889,motorcycle,route_9,214.1894064
N_4879,car,route_10,214.2684523
N_4898,motorcycle,route_9,214.8874969
N_4916,motorcycle,route_9,215.19134250000002
N_4923,motorcycle,route_9,215.4205436
N_4928,motorcycle,route_9,215.57470410000002
N_4799,car,route_9,216.1884965
N_4948,motorcycle,route_9,217.034494
N_4968,motorcycle,route_9,217.8737843
N_4981,motorcycle,route_9,218.02572460000002
N_4985,motorcycle,route_9,218.2571298
N_4991,car,route_10,218.4094528
N_5005,motorcycle,route_9,219.0977755
N_5004,motorcycle,route_9,219.3317901
N_5011,motorcycle,route_9,219.48592720000002
N_5018,motorcycle,route_9,219.7123824
N_4835,car,route_10,220.7010089
N_5021,motorcycle,route_9,220.7010306
N_5034,motorcycle,route_9,220.85634000000002
N_5026,motorcycle,route_9,220.932019
N_5037,motorcycle,route_9,221.85526660000002
N_5062,motorcycle,route_9,222.0842533
N_5060,motorcycle,route_9,223.00062210000002
N_5107,motorcycle,route_9,224.15091
N_5127,motorcycle,route_9,224.7618965
N_5078,motorcycle,route_9,224.9931843
N_5048,car,route_10,225.2189001
N_5151,car,route_10,225.9812063
N_5155,motorcycle,route_9,226.5905591
N_5193,car,route_10,227.8184996
N_5188,motorcycle,route_9,227.8948212
N_5172,motorcycle,route_9,228.0500507
N_5195,motorcycle,route_9,228.12622720000002
N_5208,motorcycle,route_9,228.2059485
N_5218,car,route_10,228.5091279
N_5231,car,route_10,229.0439016
N_5242,motorcycle,route_9,229.4243404
N_5247,motorcycle,route_9,229.5773057
N_5250,motorcycle,route_9,229.7277324
N_5257,car,route_10,230.03295310000001
N_5264,car,route_10,230.2651543
N_5262,motorcycle,route_9,230.7251531
N_5291,motorcycle,route_10,232.12117740000002
N_5293,motorcycle,route_10,232.2718418
N_5302,car,route_10,232.6561043
N_5308,motorcycle,route_9,233.2753922
N_5309,motorcycle,route_9,233.428593
N_5303,motorcycle,route_10,233.50724580000002
N_5315,motorcycle,route_9,234.3460197
N_5339,car,route_10,235.3379411
N_5330,motorcycle,route_9,235.48934920000002
N_5347,car,route_10,235.6411467
N_5352,motorcycle,route_9,236.02453250000002
N_5364,motorcycle,route_9,237.62917480000002
N_5370,motorcycle,route_9,237.8568887
N_5252,car,route_9,238.0099661
N_5377,motorcycle,route_11,238.16414460000001
N_5384,motorcycle,route_10,238.5475429
N_5369,motorcycle,route_9,238.6270067
N_5392,motorcycle,route_9,238.7796432
N_5393,motorcycle,route_10,238.77965260000002
N_5395,car,route_10,238.8559663
N_5398,motorcycle,route_9,239.0112542
N_5400,motorcycle,route_10,239.0112717
