E_Name,Class,Direction,Time
E_8326,car,route_8,2183.2352507
E_8331,motorcycle,route_7,2183.8288451000003
E_8281,car,route_6,2186.1675771
E_8362,bus,route_8,2197.8571228
E_8363,bus,route_8,2198.1468800000002
E_8369,truck,route_6,2205.0923946000003
E_8376,motorcycle,route_7,2218.8446279
E_8409,car,route_6,2238.9456442
E_8392,bus,route_6,2242.5318874
E_8432,bus,route_6,2258.3293553000003
E_8558,motorcycle,route_7,2292.8122889
E_8595,car,route_7,2299.8672887000002
E_8626,motorcycle,route_7,2307.4076464
E_8726,car,route_8,2343.7738292
E_8719,truck,route_8,2346.8429414
E_8747,truck,route_8,2351.2350458
E_8757,truck,route_8,2355.8432124
E_8787,bus,route_7,2363.218002
E_8819,truck,route_6,2382.9134440000003
E_8860,car,route_7,2388.1804676
E_8853,car,route_8,2390.5886236
E_8897,bus,route_7,2410.707138
E_9019,car,route_8,2464.5148952
E_9069,motorcycle,route_6,2467.4300246000003
E_9071,motorcycle,route_6,2467.6689116000002
E_9064,motorcycle,route_6,2467.8375095
E_9074,car,route_8,2468.0789517000003
E_9121,car,route_6,2472.9944717000003
E_9123,car,route_6,2473.2365728
E_9124,motorcycle,route_8,2473.4806264
E_9129,car,route_6,2474.2765079
E_9013,car,route_6,2540.5302302
E_9454,car,route_6,2542.4458888
E_9255,truck,route_8,2543.5514510000003
E_9481,truck,route_8,2544.6671983
E_9483,bus,route_8,2544.8859477
E_9504,truck,route_8,2550.021882
E_9524,truck,route_8,2554.5205895
E_9570,motorcycle,route_8,2577.8717628
E_9576,motorcycle,route_8,2582.6803386
E_9583,bus,route_7,2587.2799692000003
E_9609,motorcycle,route_7,2604.4511826000003
E_9617,motorcycle,route_7,2605.6171076
E_9679,car,route_7,2615.1718063000003
E_9822,motorcycle,route_6,2635.1504214
E_9825,motorcycle,route_6,2635.6601559
E_9824,motorcycle,route_6,2635.733327
E_9827,motorcycle,route_6,2635.9514007000002
E_9892,motorcycle,route_8,2646.7197376
E_9948,motorcycle,route_6,2656.2384658
E_10178,motorcycle,route_8,2693.5525413
E_10242,motorcycle,route_6,2708.5621875
E_10324,motorcycle,route_6,2719.2877327
E_10535,motorcycle,route_8,2742.4039589
E_10496,car,route_7,2742.9605845
E_10617,motorcycle,route_6,2749.3675788
E_10632,motorcycle,route_6,2759.1152301
E_10718,bus,route_6,2810.1533694
E_10821,motorcycle,route_7,2864.4181091
E_10819,motorcycle,route_6,2864.5648885
E_10841,car,route_8,2871.7612519
E_11156,car,route_7,2921.8203934000003
E_11164,car,route_7,2922.3267375
E_11170,car,route_7,2922.5602726
E_10808,car,route_6,2975.7353299
E_11636,car,route_6,2977.9026123
E_10890,car,route_8,2978.4234538
E_11644,truck,route_8,2984.0093753
E_11735,bus,route_6,2984.6076740000003
E_11750,bus,route_6,2984.8317487
E_11790,car,route_6,2987.8169344000003
E_11757,car,route_8,2988.9350777
E_11731,bus,route_6,2991.9136777
E_11828,bus,route_6,3001.2473417
E_11855,car,route_8,3003.1841956000003
E_11892,motorcycle,route_7,3013.5188453
E_11923,motorcycle,route_6,3022.2569699
E_11934,car,route_8,3026.8657142
E_11977,truck,route_6,3034.9116185000003
E_11983,truck,route_6,3035.2020190000003
E_11991,car,route_8,3061.198127
E_12066,motorcycle,route_6,3063.0314129000003
E_12045,car,route_6,3071.9976293
E_12451,car,route_7,3138.1472899
E_12718,bus,route_7,3178.0893008000003
E_13045,car,route_6,3224.9021507
E_12888,car,route_6,3232.1569696
E_13149,motorcycle,route_7,3234.4507105000002
E_13134,car,route_8,3235.7138624
E_13191,truck,route_8,3243.09049
E_13204,car,route_8,3247.2081743
E_13226,bus,route_8,3251.6323367
E_13245,motorcycle,route_6,3252.364942
E_13253,car,route_8,3255.2395460000002
E_13278,bus,route_8,3261.4416879
E_13297,motorcycle,route_6,3274.8608306
E_13317,car,route_8,3290.293792
E_13318,car,route_8,3290.4387397
E_13338,truck,route_7,3311.5050428
E_13387,car,route_8,3320.9342029
E_13450,motorcycle,route_7,3330.0093184
E_13452,motorcycle,route_6,3330.1546264000003
E_13643,car,route_8,3379.1909754000003
E_13585,car,route_6,3384.181043
E_13754,car,route_8,3386.30746
E_13809,motorcycle,route_7,3390.5714526
E_13840,car,route_7,3403.2130119000003
E_13791,car,route_8,3416.4895382
E_14050,car,route_8,3418.0327383
E_14691,motorcycle,route_7,3488.8775223000002
E_14712,car,route_8,3492.5408639
E_14755,car,route_8,3497.4299827
E_14778,car,route_8,3499.7144365
E_14777,truck,route_8,3502.0523568000003
E_14797,car,route_8,3503.8051468
E_14792,car,route_8,3506.2987437
E_14779,truck,route_7,3507.1782255000003
E_14799,car,route_6,3510.257925
E_14850,car,route_6,3510.9167592
E_14853,car,route_7,3512.1668011
E_14837,bus,route_6,3512.6775865
E_14888,motorcycle,route_7,3518.66464
E_14900,motorcycle,route_6,3520.7079541000003
E_14893,car,route_6,3523.4073183
E_14913,motorcycle,route_7,3523.8444322
E_14897,truck,route_7,3526.0398348
E_14952,bus,route_8,3551.2432870000002
E_15005,car,route_8,3568.3192089
E_15022,car,route_7,3572.8622074
E_15135,motorcycle,route_6,3585.0922709
E_15212,motorcycle,route_6,3604.2998431
E_15332,motorcycle,route_6,3625.9118765000003
E_15407,motorcycle,route_7,3636.6970570000003
E_15414,car,route_8,3639.1193634
E_15390,car,route_6,3641.5500782
E_15444,car,route_6,3643.0239509000003
E_15446,car,route_6,3643.6845059
E_15490,motorcycle,route_6,3647.2837218
E_15492,motorcycle,route_6,3647.5077113
E_15498,motorcycle,route_7,3647.9498952
E_15502,motorcycle,route_7,3648.0969979
E_15816,car,route_8,3673.8597782
E_16149,car,route_7,3721.0050192
E_16385,motorcycle,route_7,3751.6995095
E_16425,car,route_6,3758.4211096
E_16430,car,route_6,3758.5757471
E_16468,car,route_6,3761.5115198000003
E_16591,car,route_8,3769.3118363000003
E_16592,car,route_8,3769.473309
E_15588,car,route_6,3774.1234414
E_16609,car,route_8,3775.107129
E_16691,motorcycle,route_7,3776.142445
E_16584,car,route_6,3779.6863562000003
E_16724,car,route_8,3784.9761414
E_16396,car,route_6,3787.2480339
E_16720,car,route_6,3790.3247801
E_16747,truck,route_6,3798.4591384
E_16758,motorcycle,route_7,3798.9192411
E_16765,truck,route_6,3805.996837
E_16807,motorcycle,route_6,3816.0577059
E_16815,car,route_8,3824.3033746
E_16842,motorcycle,route_6,3844.8972867
E_16943,car,route_6,3860.1342331
E_16950,bus,route_6,3861.8415709
E_16952,truck,route_6,3862.1399106
E_16959,motorcycle,route_7,3863.6268295
E_17055,motorcycle,route_8,3878.6407214
E_17116,motorcycle,route_6,3886.1810885
E_17117,motorcycle,route_6,3886.3323782
E_17136,motorcycle,route_6,3887.97501
E_17137,motorcycle,route_6,3888.1263611
E_17148,car,route_8,3892.6844193
E_17169,car,route_6,3894.1054807
E_17352,car,route_7,3930.5562742
E_17993,motorcycle,route_7,4021.6070988
E_18178,car,route_6,4055.4270634
E_18243,car,route_8,4058.5949934
E_18255,car,route_6,4059.8463379
E_18250,car,route_6,4060.1430279
E_18332,bus,route_8,4065.387644
E_18347,bus,route_8,4066.4928252
E_18277,car,route_6,4070.6333145000003
E_18410,bus,route_8,4072.842854
E_18457,bus,route_6,4076.1522985
E_18492,car,route_6,4080.418306
E_18497,car,route_6,4081.3008671000002
E_18485,car,route_8,4081.6653634
E_18530,motorcycle,route_6,4085.4843337
E_18542,motorcycle,route_6,4087.9942813000002
E_18556,truck,route_8,4096.0383346
E_18585,car,route_8,4100.213734399999
E_18588,car,route_8,4102.2683484
E_18586,car,route_6,4102.413893999999
E_18644,motorcycle,route_6,4114.960630099999
E_18657,motorcycle,route_6,4120.8720284
E_18671,truck,route_7,4124.5972065999995
E_18726,motorcycle,route_6,4140.0742353
E_18744,motorcycle,route_7,4144.9710311
E_18762,motorcycle,route_7,4147.028516099999
E_18732,car,route_8,4148.1986332999995
E_18842,motorcycle,route_7,4158.297724399999
E_18848,bus,route_7,4165.4650649
E_18916,motorcycle,route_6,4188.9585821
E_18933,motorcycle,route_6,4192.1032258
E_19001,car,route_6,4209.9088087
E_19002,bus,route_6,4211.5169135
E_18990,car,route_8,4211.7375758
E_19976,car,route_8,4360.4105265
E_20028,bus,route_6,4366.198130899999
E_20034,car,route_8,4367.0775165
E_20084,truck,route_8,4372.8590472
E_20122,truck,route_8,4378.345627
E_20116,bus,route_6,4380.0991721
E_20142,bus,route_6,4382.2169458
E_20173,truck,route_6,4387.9800034
E_20204,motorcycle,route_6,4417.4413484
E_20231,motorcycle,route_7,4424.8854493
E_20249,motorcycle,route_6,4437.1999391
E_20254,motorcycle,route_6,4437.416995
E_20271,motorcycle,route_6,4440.1166992
E_20273,motorcycle,route_6,4440.4804386999995
E_20247,car,route_7,4442.0076549
E_20333,truck,route_8,4456.849746399999
E_20369,motorcycle,route_6,4457.9460493999995
E_20374,motorcycle,route_6,4458.2427903
E_20385,motorcycle,route_8,4460.221030799999
E_20452,motorcycle,route_6,4467.913355299999
E_20465,motorcycle,route_6,4468.3555694
E_20486,motorcycle,route_8,4470.0504851999995
E_20509,motorcycle,route_6,4471.2277254
E_20596,car,route_6,4477.9895151
E_20635,car,route_6,4490.8897425
E_20885,car,route_8,4540.0051434
E_20997,car,route_7,4540.2970964999995
E_21026,car,route_8,4543.6685854
E_21120,car,route_8,4564.1861118
E_21446,car,route_8,4628.466756899999
E_21637,car,route_8,4639.4008691
E_21682,bus,route_6,4641.674539799999
E_21688,bus,route_6,4641.965881599999
E_21693,bus,route_6,4642.038868
E_21700,bus,route_6,4642.2587205
E_21712,truck,route_6,4642.697602599999
E_21683,car,route_8,4644.4527682
E_21791,motorcycle,route_6,4648.7106986
E_21798,motorcycle,route_6,4649.0775373
E_21811,car,route_6,4649.8810772
E_21757,car,route_6,4650.174931199999
E_21826,car,route_6,4651.4876119
E_21834,motorcycle,route_7,4652.3692575
E_21866,motorcycle,route_7,4658.4469487999995
E_21829,car,route_6,4659.3239796
E_21745,car,route_8,4661.0046766
E_21892,motorcycle,route_8,4664.169144199999
E_21848,car,route_6,4664.2418944
E_21886,car,route_8,4666.5889978
E_21944,car,route_6,4686.284049399999
E_21992,motorcycle,route_7,4698.1058784
E_22022,truck,route_7,4709.496307699999
E_22053,motorcycle,route_6,4712.6349992
E_22085,motorcycle,route_6,4718.768318699999
E_22104,car,route_8,4723.2322091999995
E_22099,car,route_6,4729.5200175
E_22221,motorcycle,route_6,4758.7873727
E_22244,car,route_6,4768.2269238
E_22398,motorcycle,route_8,4793.7930694
E_22556,motorcycle,route_8,4825.765936299999
E_22559,motorcycle,route_8,4826.5022757
E_22570,motorcycle,route_8,4827.021353599999
E_22573,motorcycle,route_8,4827.314950399999
E_22577,motorcycle,route_8,4827.6077464
E_22598,motorcycle,route_8,4833.172268699999
E_22600,motorcycle,route_8,4833.3267999
E_22613,motorcycle,route_8,4834.796628499999
E_22616,motorcycle,route_8,4835.0286903999995
E_22617,motorcycle,route_8,4836.0282221
E_22620,motorcycle,route_8,4836.259787499999
E_22633,motorcycle,route_8,4838.1162054999995
E_22642,car,route_8,4838.9695967
E_22631,car,route_7,4840.0212894
E_22653,motorcycle,route_8,4840.4635017
E_22654,motorcycle,route_8,4840.7633074
E_22659,motorcycle,route_8,4841.424696499999
E_22678,motorcycle,route_7,4844.5895015
E_22801,car,route_7,4880.3653024
E_22934,car,route_7,4885.521544499999
E_23000,car,route_7,4892.011047399999
E_23121,car,route_7,4899.9429689
E_23258,car,route_7,4915.9966796
E_23261,car,route_7,4916.509219699999
E_23480,car,route_8,4930.4005627999995
E_23372,car,route_6,4933.7884957
E_23477,bus,route_8,4935.1923993
E_23581,car,route_6,4935.631941299999
E_23597,motorcycle,route_7,4936.4441621
E_23626,car,route_8,4937.986293
E_23532,bus,route_6,4939.3092209
E_23652,car,route_7,4943.119516199999
E_23635,car,route_6,4943.485693799999
E_23703,car,route_6,4945.3149066
E_23669,car,route_8,4945.606484
E_23710,car,route_8,4946.415011499999
E_23722,car,route_8,4946.6327715
E_23773,car,route_6,4949.4272310999995
E_23713,car,route_8,4950.2339395
E_23794,car,route_8,4952.8763915
E_23876,motorcycle,route_6,4961.7049418999995
E_23893,car,route_6,4965.5716757
E_23894,car,route_8,4965.940742299999
E_23909,car,route_8,4966.5249272
E_23918,truck,route_6,4969.3793467
E_23951,car,route_6,4977.1918999
E_24007,truck,route_6,4981.206562599999
E_24012,motorcycle,route_7,4983.1832877
E_24008,truck,route_8,4984.3510338
E_23996,car,route_7,4988.2189696
E_24030,motorcycle,route_6,4988.662291899999
E_24036,motorcycle,route_7,4990.1935948
E_24108,truck,route_8,5024.0881039
E_24128,truck,route_6,5029.577430599999
E_24178,car,route_6,5039.8356459999995
E_24267,motorcycle,route_6,5049.244021799999
E_24274,motorcycle,route_7,5049.902099999999
E_24315,motorcycle,route_7,5067.293153
E_24441,motorcycle,route_7,5097.27261
E_24466,motorcycle,route_7,5106.3921912999995
E_24483,motorcycle,route_7,5107.6436347
E_24532,motorcycle,route_7,5113.616289199999
E_24528,car,route_7,5119.9671307
E_24574,car,route_7,5121.0743815999995
E_24575,car,route_7,5121.2214478999995
E_24673,car,route_6,5135.753101699999
E_24678,car,route_6,5137.4545984
E_24680,car,route_6,5137.6017864
E_24786,car,route_7,5164.0914499
E_24802,car,route_7,5164.6907149
E_24871,car,route_7,5181.8920327999995
E_25125,car,route_6,5217.893615
E_25157,car,route_6,5219.143701
E_25242,car,route_7,5224.7980301
E_25179,bus,route_8,5225.0179073
E_25256,car,route_6,5226.6286713
E_25258,car,route_6,5226.9215015
E_25280,car,route_8,5228.1712724
E_25215,car,route_6,5229.2727638999995
E_25295,car,route_6,5233.6697525
E_25320,car,route_8,5234.0391589
E_25375,car,route_6,5237.7178802
E_25376,truck,route_8,5238.8224457
E_25409,motorcycle,route_6,5239.9272235
E_25400,bus,route_7,5242.010269099999
E_25428,bus,route_6,5245.6138837
E_25448,truck,route_8,5245.759479099999
E_25509,car,route_6,5248.993859499999
E_25532,truck,route_6,5249.2891124
E_25538,motorcycle,route_7,5249.4349174
E_25541,car,route_6,5251.2799913
E_25484,car,route_7,5253.0512714
E_25580,bus,route_6,5254.7335428
E_25569,car,route_7,5256.63589
E_25584,truck,route_8,5257.3667163
E_25621,truck,route_6,5282.6404323
E_25635,bus,route_7,5284.7658721
E_25666,motorcycle,route_7,5287.3301584
E_25669,motorcycle,route_7,5287.6228289
E_25655,truck,route_7,5291.508339
E_25696,car,route_6,5302.1473786
E_25750,motorcycle,route_6,5305.076018199999
E_25781,motorcycle,route_7,5308.905753
E_25784,car,route_6,5309.4229003
E_25789,car,route_6,5309.8623219
E_25792,car,route_6,5310.0091692
E_25795,car,route_6,5310.156720399999
E_25858,motorcycle,route_7,5317.4095134
E_25840,car,route_7,5321.7018616
E_25872,car,route_7,5325.698504499999
E_25906,car,route_8,5327.0305361
E_25918,car,route_8,5328.0663133
E_25924,car,route_8,5328.8023267
E_25931,car,route_8,5330.056647699999
E_25930,car,route_7,5335.1522746
E_25998,car,route_7,5342.3300118
E_26217,car,route_7,5371.3596141
E_26374,car,route_7,5390.2074078
E_26459,car,route_7,5406.562372599999
E_26812,motorcycle,route_7,5439.791093999999
E_26949,car,route_7,5459.0814992
E_27383,car,route_7,5530.4100954
E_27420,motorcycle,route_7,5533.799600599999
E_27579,car,route_6,5546.3341039
E_25746,car,route_6,5547.005040999999
E_27522,car,route_7,5548.7072375
E_27519,car,route_8,5550.846452899999
E_27582,car,route_6,5554.2400247
E_27647,car,route_8,5556.2998308999995
E_27693,car,route_8,5557.035654699999
E_26133,car,route_6,5558.0647155999995
E_27709,car,route_8,5558.1380061
E_27707,car,route_8,5559.9745591
E_27752,car,route_8,5561.4484778999995
E_27754,motorcycle,route_7,5561.819645
E_27751,car,route_8,5564.0337948999995
E_27797,car,route_8,5566.675031899999
E_27796,truck,route_6,5567.0401758
E_27814,truck,route_6,5567.7033375
E_27838,car,route_6,5571.2100758999995
E_27846,motorcycle,route_8,5571.7229349
E_27887,truck,route_7,5578.515041199999
E_27896,car,route_7,5578.8831768
E_27909,car,route_8,5586.9825654
E_27921,motorcycle,route_7,5590.6403191
E_27927,motorcycle,route_6,5592.1019823999995
E_27969,motorcycle,route_8,5612.5036709999995
E_27967,car,route_6,5615.3486163
E_27991,motorcycle,route_6,5619.223175599999
E_28006,car,route_7,5621.4180792
E_27986,car,route_6,5631.3544617
E_28130,car,route_7,5639.6588776
E_28129,car,route_7,5642.849544299999
E_28198,motorcycle,route_6,5646.554799799999
E_28226,car,route_6,5648.6075003
E_28094,car,route_7,5651.039056799999
E_28295,motorcycle,route_8,5655.1793897
E_28273,car,route_7,5660.2842265
E_28370,car,route_6,5661.197757
E_28340,car,route_8,5662.0404646
E_28453,motorcycle,route_6,5669.8102677
E_28523,motorcycle,route_7,5681.586856399999
E_28606,car,route_6,5693.9046191
E_28825,car,route_7,5732.938614199999
E_28872,car,route_7,5736.9489481
E_29083,car,route_7,5760.5319893999995
E_29084,car,route_7,5760.6787189
E_29307,car,route_8,5782.1790409
E_29311,car,route_8,5782.6221792
E_29371,car,route_7,5790.5931458
E_29388,car,route_7,5790.8148124
E_29812,car,route_6,5849.446795399999
E_29918,motorcycle,route_7,5868.6375638
E_29546,car,route_8,5882.5785946
E_30117,car,route_8,5883.243129199999
E_30134,truck,route_6,5888.0923557
E_30131,car,route_8,5891.5321477
E_30244,truck,route_8,5891.8283292
E_30249,car,route_8,5891.9011505
E_30280,truck,route_8,5895.564252599999
E_30305,car,route_6,5896.0815379999995
E_30308,car,route_6,5896.154751399999
E_30309,car,route_8,5896.1547633
E_30311,car,route_6,5896.5202555999995
E_30324,car,route_6,5897.036498699999
E_30347,motorcycle,route_6,5898.8058621
E_30336,car,route_8,5900.2033517
E_30344,bus,route_6,5902.634768399999
E_30410,truck,route_8,5907.8349272
E_30360,truck,route_6,5911.2197608999995
E_30478,bus,route_8,5912.2467049
E_30484,car,route_6,5915.1856258
E_30530,car,route_6,5916.1408326
E_30506,car,route_6,5918.2036221
E_30534,truck,route_8,5918.4233864
E_30546,car,route_8,5919.16282
E_30489,car,route_6,5921.8052971
E_30591,car,route_8,5923.277213599999
E_30617,truck,route_8,5926.1423347
E_30630,car,route_8,5926.291426899999
E_30540,car,route_6,5926.7307764
E_30640,bus,route_6,5930.0181563999995
E_30620,car,route_7,5931.1862861
E_30700,truck,route_6,5936.820199999999
E_30718,car,route_8,5940.3403339999995
E_30724,bus,route_6,5943.5667428
E_30793,truck,route_6,5955.7771146
E_30795,truck,route_6,5955.9228084
E_30791,car,route_8,5957.4574213999995
E_30802,bus,route_6,5957.606985099999
E_30834,car,route_8,5964.854387599999
E_31063,car,route_7,6004.113210199999
E_31093,bus,route_6,6016.468336399999
E_31301,car,route_7,6048.2437825
E_31314,bus,route_6,6071.2909365
E_31458,bus,route_6,6071.586135099999
E_31555,car,route_7,6080.6963988
E_31570,car,route_7,6081.5808258
E_31576,car,route_7,6082.0943639
E_31484,bus,route_6,6083.119650199999
E_31762,bus,route_6,6128.496653499999
E_31962,bus,route_7,6150.5179247
E_31967,bus,route_7,6150.8196497
E_31968,bus,route_7,6151.040171199999
E_32157,bus,route_6,6196.762012499999
E_32217,car,route_7,6206.2795459
E_32220,car,route_7,6206.8071831
