N_Name,Class,Direction,Time
N_8,car,route_9,5.4256991
N_51,motorcycle,route_9,9.951507500000002
N_53,motorcycle,route_9,10.117249699999999
N_58,motorcycle,route_9,10.603380699999999
N_60,motorcycle,route_9,10.85302
N_62,motorcycle,route_9,11.0207364
N_2,bus,route_10,13.349063099999999
N_80,car,route_9,13.6477933
N_84,car,route_9,14.098353199999998
N_163,car,route_9,24.4498902
N_165,car,route_9,24.6763583
N_190,car,route_9,28.872143199999996
N_211,car,route_9,30.2991211
N_218,car,route_9,30.3740532
N_245,car,route_9,30.8237769
N_253,car,route_9,31.131900299999998
N_255,car,route_11,31.2069889
N_263,car,route_11,31.357980400000002
N_269,car,route_11,31.582994399999997
N_285,car,route_11,32.1876643
N_293,car,route_9,32.414123599999996
N_354,car,route_9,34.5357199
N_359,car,route_9,34.6865668
N_383,car,route_9,35.5261582
N_403,motorcycle,route_9,36.2189961
N_406,car,route_9,36.2938199
N_440,car,route_9,36.9799644
N_549,car,route_9,41.174667899999996
N_599,car,route_11,41.4810604
N_615,bus,route_10,41.7886911
N_601,car,route_10,43.0138045
N_475,truck,route_11,43.2411035
N_711,car,route_9,44.0057593
N_689,car,route_10,46.3658381
N_839,car,route_9,46.670683499999996
N_879,car,route_9,47.5827506
N_1059,car,route_11,51.3046019
N_790,car,route_10,51.6076321
N_1070,motorcycle,route_9,51.7589733
N_1025,car,route_10,52.4485318
N_1103,car,route_10,52.6015315
N_1106,car,route_10,52.7559166
N_1124,car,route_9,53.1417055
N_1144,car,route_9,53.5260441
N_1168,car,route_9,54.1400816
N_1250,car,route_10,55.8326564
N_1252,motorcycle,route_9,55.9089364
N_1253,car,route_10,55.986008
N_1263,car,route_10,56.295704799999996
N_1269,car,route_10,56.6054514
N_1274,car,route_10,56.915162
N_1290,car,route_9,57.2316827
N_1016,car,route_9,57.3874466
N_1299,car,route_9,57.7731084
N_1319,car,route_10,58.0066432
N_1329,car,route_9,58.2362173
N_1333,car,route_9,58.312594
N_1345,motorcycle,route_9,58.5460962
N_1055,bus,route_10,61.1466309
N_1031,car,route_10,61.223115299999996
N_1237,car,route_9,61.2992645
N_1468,car,route_9,61.4534822
N_1534,car,route_10,63.111084999999996
N_1548,car,route_10,63.4133136
N_1560,car,route_9,63.7877777
N_1563,car,route_9,63.944377100000004
N_1544,car,route_9,64.4708397
N_1523,car,route_9,64.6982461
N_1620,car,route_10,65.1525326
N_1627,car,route_9,65.3765034
N_1645,car,route_9,65.6854009
N_1672,car,route_10,66.441505
N_1676,car,route_10,66.5934074
N_1706,car,route_10,67.42580530000001
N_1413,truck,route_10,68.25692760000001
N_1743,truck,route_10,68.7842871
N_1699,car,route_10,69.46176960000001
N_1436,car,route_9,70.2231725
N_1805,car,route_10,70.527837
N_1807,car,route_10,73.0978204
N_1613,car,route_9,73.3982615
N_1890,car,route_11,73.7004186
N_1915,bus,route_10,73.70043050000001
N_1924,bus,route_10,73.9304606
N_1927,car,route_11,74.157753
N_1954,bus,route_10,75.28544830000001
N_1949,car,route_9,78.3912942
N_2059,car,route_9,78.84469050000001
N_2071,car,route_10,79.2188476
N_2080,car,route_10,79.7470244
N_1981,truck,route_9,82.6819827
N_2025,truck,route_10,82.75725920000001
N_2183,car,route_9,83.057212
N_2228,car,route_9,84.47930240000001
N_2229,car,route_9,84.6285457
N_2216,car,route_10,84.77699820000001
N_2220,car,route_10,85.15521700000001
N_2270,car,route_10,85.6113681
N_2287,car,route_10,86.0603215
N_2296,car,route_10,86.2838608
N_2159,car,route_9,86.3591167
N_2203,car,route_10,86.5109511
N_2309,car,route_10,86.58618960000001
N_2325,car,route_10,87.11316230000001
N_2329,car,route_10,87.34158550000001
N_2334,car,route_10,87.49418460000001
N_2307,car,route_10,88.6999614
N_2369,car,route_10,88.7748167
N_2384,motorcycle,route_9,89.224158
N_2393,motorcycle,route_9,89.5262098
N_2394,car,route_10,89.601038
N_2073,car,route_9,89.9062559
N_2429,motorcycle,route_10,90.5799238
N_2433,car,route_10,90.7291744
N_2259,car,route_10,91.25746190000001
N_2486,car,route_9,92.7632454
N_2422,car,route_10,93.51497540000001
N_2515,car,route_9,93.89235020000001
N_2512,truck,route_11,93.9693337
N_2349,car,route_10,94.7976455
N_2581,motorcycle,route_10,96.4761721
N_2587,car,route_10,96.6264436
N_2541,car,route_10,98.5883421
N_2661,car,route_10,98.73935780000001
N_2667,car,route_10,98.96322470000001
N_2383,car,route_9,99.48800360000001
N_2532,car,route_10,99.5626747
N_2484,car,route_9,99.71198650000001
N_2729,motorcycle,route_9,101.59825620000001
N_2739,motorcycle,route_9,102.1273201
N_2650,bus,route_10,103.1104105
N_2851,car,route_10,105.39239180000001
N_2822,car,route_9,105.4674475
N_2633,bus,route_10,106.83621830000001
N_2930,motorcycle,route_9,107.4438825
N_2941,motorcycle,route_9,107.5999184
N_2948,motorcycle,route_9,107.67464530000001
N_2950,motorcycle,route_9,107.6746574
N_2958,motorcycle,route_9,108.20196480000001
N_2982,motorcycle,route_9,108.51051220000001
N_2977,motorcycle,route_9,108.6600236
N_2796,truck,route_10,109.4895678
N_2794,car,route_9,110.1720624
N_3104,car,route_10,111.984161
N_3120,car,route_10,112.66640410000001
N_3121,motorcycle,route_9,112.8156694
N_3128,car,route_9,112.9653466
N_3138,car,route_9,113.2680167
N_3081,car,route_10,113.7161827
N_3174,truck,route_10,114.6229454
N_3208,motorcycle,route_9,116.05655340000001
N_3243,car,route_9,117.63791
N_3142,car,route_10,117.78754660000001
N_3078,car,route_11,119.23175610000001
N_2943,car,route_10,119.71101490000001
N_3350,motorcycle,route_9,121.2097279
N_3348,motorcycle,route_9,121.43317970000001
N_3360,motorcycle,route_9,121.73014470000001
N_3369,motorcycle,route_11,122.1752869
N_3190,car,route_10,122.7001858
N_3393,motorcycle,route_9,122.84793760000001
N_3242,car,route_9,123.36994650000001
N_3431,car,route_10,123.96845540000001
N_3436,motorcycle,route_11,124.1915649
N_3470,motorcycle,route_10,125.63466360000001
N_3494,motorcycle,route_9,126.61095500000002
N_3472,car,route_9,128.11431340000001
N_3544,motorcycle,route_10,128.63796820000002
N_3427,car,route_10,128.8611491
N_3587,car,route_10,130.0650817
N_3606,motorcycle,route_10,131.0322494
N_3524,car,route_10,131.9280177
N_3628,car,route_10,132.375289
N_3555,car,route_10,134.0873008
N_3652,motorcycle,route_9,134.38390760000001
N_3660,motorcycle,route_11,134.5314997
N_3551,car,route_10,134.6059242
N_3569,car,route_9,135.3521923
N_3666,motorcycle,route_10,135.35222000000002
N_3674,motorcycle,route_10,135.5735369
N_3677,car,route_10,135.87192480000002
N_3723,motorcycle,route_9,139.5115266
N_3672,car,route_10,139.73307590000002
N_3753,truck,route_10,141.6685153
N_3769,motorcycle,route_10,141.81637940000002
N_3778,motorcycle,route_9,142.26522540000002
N_3766,car,route_10,144.64894950000001
N_3900,motorcycle,route_10,146.956334
N_3922,motorcycle,route_10,147.84645790000002
N_3928,car,route_10,147.9933767
N_3931,motorcycle,route_10,148.06674710000001
N_3967,car,route_10,149.6980323
N_3875,car,route_10,150.36391500000002
N_3903,car,route_10,150.3639326
N_3991,car,route_10,150.4380279
N_3705,car,route_9,150.58820590000002
N_4099,motorcycle,route_9,154.8362408
N_3982,car,route_10,155.3564701
N_4081,truck,route_11,155.35650230000002
N_4034,car,route_10,155.4306449
N_4162,motorcycle,route_10,158.4065909
N_4072,truck,route_10,160.0457285
N_4130,car,route_10,161.38685660000002
N_4134,bus,route_9,161.5340736
N_4280,car,route_10,165.70447380000002
N_4282,motorcycle,route_9,165.8545411
N_4301,motorcycle,route_9,166.6724089
N_4307,motorcycle,route_9,166.9678767
N_4262,car,route_10,168.4683092
N_4324,motorcycle,route_9,168.4683268
N_4332,motorcycle,route_9,168.989597
N_4371,car,route_10,171.8297598
N_4328,car,route_10,173.0253135
N_4392,motorcycle,route_9,173.4713584
N_4398,motorcycle,route_9,173.8469413
N_4344,car,route_9,176.3266649
N_4467,motorcycle,route_9,179.0276948
N_4534,car,route_10,182.4906496
N_4323,car,route_10,182.7156476
N_4559,truck,route_9,184.36557430000002
N_4616,car,route_10,189.1713123
N_4619,car,route_9,189.6204782
N_4842,car,route_10,211.2743891
N_5028,car,route_9,231.2976601
N_5050,car,route_10,235.1118735
N_5053,car,route_10,235.408659
N_5055,car,route_10,235.5636699
N_5056,car,route_10,235.7119058
N_5062,car,route_10,236.98455760000002
N_5068,car,route_10,238.0342494
N_5072,car,route_10,238.3340685
N_5082,car,route_10,239.985406
N_5085,car,route_10,240.5062092
N_5093,car,route_10,240.9577946
N_5107,car,route_10,242.3095565
N_5211,car,route_10,252.5099481
N_5266,car,route_9,257.3936362
N_5282,car,route_9,258.5208808
N_5291,car,route_9,259.0470297
N_5452,car,route_10,284.42890489999996
N_5465,car,route_10,286.44768969999996
N_5473,car,route_10,287.4144819
N_6217,car,route_10,431.901321
N_6365,car,route_9,434.7154716
N_6387,car,route_10,435.7743822
N_6427,car,route_10,437.0692482
N_6448,car,route_10,437.9571712
N_6451,car,route_9,437.9572057
N_6456,car,route_9,438.2005374
N_6459,car,route_11,438.69111039999996
N_6470,car,route_10,439.33171769999996
N_6373,car,route_9,440.0556838
N_6484,car,route_11,440.1349917
N_6489,car,route_10,440.78110599999997
N_6512,truck,route_10,442.1534476
N_6516,truck,route_10,442.3216174
N_6522,car,route_10,442.5538681
N_6528,truck,route_10,442.7879405
N_6543,car,route_9,443.1766452
N_6593,bus,route_10,444.4208129
N_6596,truck,route_10,444.81093619999996
N_6608,truck,route_10,444.96558089999996
N_6644,bus,route_10,445.66350439999997
N_6624,car,route_10,448.70052599999997
N_6826,car,route_9,450.4937318
N_6837,motorcycle,route_9,450.6494552
N_6839,car,route_9,450.7264916
N_6882,car,route_10,452.0671475
N_6924,car,route_10,452.61150699999996
N_6762,car,route_10,453.38872899999996
N_6843,car,route_10,454.39957819999995
N_6709,car,route_9,456.2592977
N_6994,car,route_9,456.9571805
N_7104,car,route_10,457.89719429999997
N_7184,car,route_10,460.14939219999997
N_7190,car,route_10,460.38136899999995
N_7193,car,route_10,460.99997709999997
N_6943,car,route_9,461.47128619999995
N_7158,car,route_10,461.70822649999997
N_7256,car,route_9,462.79918999999995
N_7186,car,route_10,463.34507479999996
N_7267,motorcycle,route_10,463.4218663
N_7277,motorcycle,route_10,463.7317108
N_7279,car,route_10,463.81145829999997
N_6982,car,route_10,464.28068479999996
