W_Name,Class,Direction,Time
W_7153,truck,route_0,280.44373459999997
W_7230,car,route_0,282.8012085
W_6949,truck,route_0,283.0223504
W_7282,car,route_0,284.4184165
W_7351,car,route_0,287.4257659
W_7359,car,route_0,287.7197763
W_7382,truck,route_0,288.60537639999995
W_7422,truck,route_0,289.848231
W_7507,car,route_0,291.6826425
W_7525,car,route_2,294.1810351
W_7591,car,route_2,294.5461724
W_7594,car,route_0,294.5462229
W_7613,car,route_0,295.1394775
W_7630,car,route_0,295.72535339999996
W_7652,car,route_0,297.28217079999996
W_7623,truck,route_1,299.267699
W_7853,truck,route_1,305.2944442
W_7867,truck,route_1,305.8076129
W_7868,car,route_0,307.20145119999995
W_7920,truck,route_0,307.713581
W_8018,bus,route_1,311.2463082
W_8037,car,route_0,312.42591139999996
W_8050,truck,route_0,312.6464555
W_8054,car,route_0,312.86679499999997
W_8077,bus,route_0,313.2386871
W_8081,car,route_0,313.679105
W_8094,car,route_0,314.26718769999997
W_8109,car,route_0,314.48939359999997
W_8121,car,route_0,315.1515581
W_8133,car,route_0,315.44354749999997
W_8173,car,route_0,316.7582275
W_8176,car,route_0,316.90444379999997
W_8186,car,route_0,317.2729225
W_8329,car,route_0,323.73645789999995
W_8363,truck,route_1,324.6869528
W_8373,car,route_0,324.9762745
W_8387,car,route_0,325.3398259
W_8408,truck,route_1,325.92900899999995
W_8422,car,route_0,326.14834829999995
W_8511,truck,route_1,330.17412329999996
W_8645,truck,route_0,334.8584721
W_8660,truck,route_1,335.58825249999995
W_8717,car,route_0,337.05713629999997
W_8741,car,route_0,338.3026801
W_8780,car,route_0,339.40322
W_8878,truck,route_0,343.7165591
W_8912,bus,route_0,345.0341393
W_8821,bus,route_2,345.98924029999995
W_8943,bus,route_0,346.28269439999997
W_8952,car,route_0,346.5036373
W_8990,car,route_0,347.90413509999996
W_9015,car,route_0,348.4910658
W_9019,bus,route_0,348.78188459999996
W_9061,car,route_0,350.09559179999997
W_9059,bus,route_1,350.46423669999996
W_9161,car,route_0,352.8069668
W_9183,car,route_0,353.5417109
W_9098,bus,route_0,353.6139215
W_9188,car,route_0,353.6867767
W_9195,car,route_0,354.34616439999996
W_9230,car,route_0,355.22780129999995
W_9244,bus,route_0,355.59285029999995
W_9286,car,route_0,356.6160508
W_9306,bus,route_0,357.42081149999996
W_9391,bus,route_0,360.0589568
W_9400,bus,route_0,360.3533422
W_9429,bus,route_1,361.82434789999996
W_9474,car,route_0,363.95269709999997
W_9480,car,route_0,364.0993928
W_9494,bus,route_0,364.75816779999997
W_9501,car,route_0,365.34152129999995
W_9520,car,route_0,365.998681
W_9535,car,route_0,366.36569399999996
W_9543,car,route_0,366.7341598
W_9607,car,route_0,370.1701051
W_9568,truck,route_0,370.2426061
W_9624,car,route_0,370.60338959999996
W_9645,car,route_0,371.5573002
W_9655,truck,route_1,371.7030231
W_9689,car,route_0,372.58343779999996
W_9694,car,route_0,372.8768108
W_9732,car,route_0,374.1963757
W_9744,bus,route_1,374.92209779999996
W_9870,truck,route_1,378.7332323
W_9923,truck,route_0,380.5675503
W_9943,truck,route_0,381.0831781
W_9975,truck,route_1,381.8897733
W_10040,truck,route_1,383.86909949999995
W_10056,truck,route_0,384.3052884
W_10117,truck,route_0,386.2793125
W_10166,car,route_0,387.2350644
W_10230,car,route_0,388.84327829999995
W_10150,car,route_2,389.5087329
W_10258,car,route_0,389.72902619999996
W_10289,car,route_2,390.3890869
W_10293,truck,route_1,390.60664499999996
W_10322,car,route_0,391.1998261
W_10338,car,route_0,391.4920496
W_10369,truck,route_1,392.2254195
W_10387,truck,route_1,392.587422
W_10401,car,route_0,392.7329698
W_10398,truck,route_1,392.8088132
W_10472,car,route_0,394.6358049
W_10494,truck,route_1,394.92986479999996
W_10493,car,route_0,394.92989239999997
W_10519,car,route_0,395.29515699999996
W_10532,car,route_0,395.58606629999997
W_10576,truck,route_1,396.3237206
W_10593,car,route_2,396.76371009999997
W_10621,car,route_2,397.27387719999996
W_10640,car,route_2,397.71228729999996
W_10644,truck,route_1,397.85848749999997
W_10674,truck,route_1,398.962111
W_10734,truck,route_0,400.0671549
W_11012,car,route_2,407.3356225
W_11035,car,route_2,407.7773307
W_11047,car,route_2,408.0728552
W_10978,truck,route_1,408.8784148
W_11095,car,route_2,409.2464518
W_11109,car,route_0,409.83301589999996
W_11108,truck,route_1,410.57108239999997
W_11176,car,route_2,411.97002719999995
W_11180,car,route_2,412.1159302
W_11181,car,route_0,412.1159401
W_11187,car,route_0,412.7764296
W_11205,truck,route_1,412.77643989999996
W_11214,car,route_2,412.99565099999995
W_11209,car,route_0,413.1417998
W_11229,truck,route_1,413.3626093
W_11240,car,route_2,413.5819138
W_11247,truck,route_1,413.80151589999997
W_11256,car,route_2,413.87496949999996
W_11276,car,route_2,414.46240589999996
W_11298,car,route_2,414.97475979999996
W_11306,car,route_2,415.27019759999996
W_11318,car,route_2,415.4943371
W_11258,truck,route_1,415.86101549999995
W_11356,truck,route_1,416.52273699999995
W_11308,truck,route_0,416.66820529999995
W_11408,car,route_0,417.7643276
W_11496,truck,route_1,419.8933889
W_11514,truck,route_1,420.5554886
W_11534,truck,route_0,420.84793659999997
W_11544,car,route_0,421.362354
W_11591,car,route_2,422.397275
W_11608,car,route_2,422.76153719999996
W_11672,car,route_0,424.45729969999996
W_11693,car,route_0,424.89662189999996
W_11729,truck,route_0,425.4846035
W_11744,car,route_0,425.9251855
W_11683,truck,route_1,427.8369037
W_11848,car,route_0,428.2766425
W_11844,bus,route_1,428.34987659999996
W_11875,car,route_0,429.0120986
W_11894,car,route_0,429.670616
W_11905,truck,route_0,430.10904459999995
W_11838,car,route_2,430.9923608
W_11932,car,route_0,431.5111012
W_11934,truck,route_0,431.58434719999997
W_11966,bus,route_0,432.75997789999997
W_11985,truck,route_1,433.12747529999996
W_12006,truck,route_1,433.49686169999995
W_12015,truck,route_1,434.0116784
W_12047,bus,route_1,435.25848149999996
W_12129,truck,route_1,438.41035159999996
W_12147,car,route_0,439.06562649999995
W_12154,car,route_0,439.4397123
W_12159,truck,route_0,439.8055794
W_12168,car,route_0,440.0984458
W_12187,truck,route_1,441.2025422
W_12254,truck,route_0,442.6745236
W_12279,car,route_0,443.7692778
W_12288,truck,route_1,443.9870934
W_12303,truck,route_1,444.9439132
W_12313,car,route_0,445.0172126
W_12339,car,route_0,446.12543239999997
W_12283,car,route_0,446.6406573
W_12403,truck,route_0,449.88072059999996
W_12420,truck,route_1,450.39481969999997
W_12467,truck,route_0,452.82420199999996
W_12490,car,route_0,453.4113349
W_12497,car,route_0,453.7068687
W_12504,car,route_2,453.92649259999996
W_12512,bus,route_0,454.58990589999996
W_12544,truck,route_0,455.84688789999996
W_12580,truck,route_0,457.09684189999996
W_12582,truck,route_0,457.24488929999995
W_12555,bus,route_2,457.3915197
W_12598,car,route_0,457.9774104
W_12607,car,route_0,458.27524609999995
W_12609,car,route_0,458.4220181
W_12698,car,route_0,463.529567
W_12722,car,route_0,464.26942779999996
W_12721,bus,route_1,464.4155538
W_12743,truck,route_0,464.8583754
W_12745,truck,route_0,465.07762329999997
W_12767,truck,route_0,465.95905289999996
W_12860,car,route_0,469.1201038
W_12862,car,route_0,469.26674849999995
W_12893,car,route_0,471.02994099999995
W_12896,car,route_0,471.2499765
W_12900,car,route_0,471.6181531
W_12913,car,route_0,472.20441129999995
W_12856,car,route_2,472.3511211
W_12933,car,route_0,473.4532572
W_12934,car,route_0,473.60103699999996
W_12942,car,route_0,473.9680783
