N_Name,Class,Direction,Time
N_89,car,route_9,12.7160529
N_96,truck,route_11,13.978286899999999
N_101,truck,route_11,14.358763399999999
N_7,car,route_10,16.3181815
N_125,car,route_10,18.2011855
N_128,car,route_10,18.4273071
N_131,car,route_10,18.5746641
N_172,car,route_9,26.7278007
N_179,car,route_10,30.0230403
N_162,car,route_10,38.2665135
N_266,truck,route_11,42.867010300000004
N_283,car,route_10,45.463023400000004
N_284,car,route_10,45.6873182
N_309,car,route_10,48.7222898
N_318,car,route_10,50.202823800000004
N_329,car,route_9,51.6071081
N_346,car,route_11,53.170851400000004
N_381,car,route_10,60.7775988
N_387,car,route_10,61.147287
N_390,car,route_10,61.373284500000004
N_392,car,route_10,61.5276199
N_394,car,route_10,61.680259400000004
N_396,car,route_10,61.9856556
N_564,motorcycle,route_9,97.283275
N_660,car,route_11,117.8806364
N_664,truck,route_11,118.4020867
N_691,car,route_11,124.9098494
N_694,car,route_10,125.354957
N_743,car,route_11,138.995915
N_761,car,route_11,139.5126042
N_830,car,route_11,153.9253832
N_832,car,route_11,154.65225249999997
N_837,car,route_11,155.74506079999998
N_703,car,route_10,157.3172597
N_855,car,route_10,157.7013606
N_857,car,route_10,158.08320479999998
N_865,car,route_11,158.84681899999998
N_893,car,route_11,162.7482949
N_917,car,route_10,165.96813039999998
N_919,car,route_10,166.27524839999998
N_921,car,route_10,166.4272455
N_925,motorcycle,route_9,167.19395379999997
N_930,car,route_10,167.97038479999998
N_968,car,route_11,174.8348523
N_973,truck,route_11,175.7659396
N_976,truck,route_11,176.15470009999999
N_978,car,route_10,176.3834389
N_981,bus,route_11,176.63615579999998
N_986,car,route_10,177.4784547
N_1008,car,route_10,180.0937602
N_1054,car,route_9,185.85137719999997
N_1068,car,route_11,186.59547229999998
N_1070,car,route_11,187.4136298
N_1043,car,route_10,187.56288089999998
N_1080,car,route_11,188.3072449
N_1208,car,route_10,203.3001812
N_1249,car,route_10,206.08239089999998
N_1255,car,route_11,206.08240519999998
N_1257,car,route_11,206.2292484
N_1346,car,route_10,210.502142
N_1364,car,route_10,211.3122426
N_1405,car,route_10,212.418847
N_1404,car,route_10,212.4921719
N_1424,car,route_10,212.7842777
N_1430,car,route_10,212.9276931
N_1429,car,route_10,214.11910669999997
N_1511,motorcycle,route_9,216.0414836
N_1457,car,route_9,216.6317516
N_1531,car,route_9,217.0721619
N_1547,car,route_10,217.73994739999998
N_1509,car,route_10,218.0383092
N_1559,car,route_10,219.2166297
N_1619,car,route_10,220.76575559999998
N_1624,car,route_10,220.98942119999998
N_1668,car,route_9,222.87437469999998
N_1671,car,route_10,222.9493925
N_1691,car,route_10,223.7006195
N_1713,car,route_10,224.28875599999998
N_1722,car,route_10,224.50850119999998
